code1,code2
B02,F60
I82,R23
I78,J44
B01,S15
G83,S73
F45,F52
C64,C79
A87,F03
A41,Y56
D65,K74
I35,L93
I84,T43
I69,S98
J44,K83
D64,I87
E67,J46
C11,Q04
H05,Y87
I49,M54
Q89,R90
S49,T68
C33,R59
I25,I87
J20,K82
G57,M67
F42,G92
K56,R79
B37,R31
L28,L53
M15,M79
M23,S52
I80,T81
F63,I42
C19,T69
L30,Q66
B88,F33
G63,J12
F33,M54
I02,I74
F10,L08
B01,E24
N32,Y83
C79,H49
G30,I73
B37,I12
K41,L72
I12,I67
C50,D24
G90,K44
S44,Y62
E32,I06
R25,T39
D75,T50
I95,J99
E22,M25
F33,I11
B75,I60
C19,Y84
F20,G21
G92,X95
B88,I69
I50,Q21
I36,L93
D16,P03
B58,D72
A88,H25
A40,M25
G90,G91
F20,H16
S22,Y63
L03,N19
E34,N64
K61,N36
I77,M67
R40,S80
I50,K92
F03,R55
C56,C80
D58,I48
L89,Q06
K82,R59
S68,Y87
I67,P71
G44,G95
E88,M89
B96,L12
I74,L72
E21,P14
M93,Y63
I82,S49
I10,J41
I28,T87
B00,H11
K75,R31
G41,R76
Q04,Q76
I85,N15
H73,L30
K30,M14
F33,F98
B45,R64
J06,R17
A41,Y60
K74,L40
B07,I83
F10,S72
C24,I87
A37,B75
B25,G60
E34,K81
R40,R51
T67,Y52
E88,N60
I42,M02
E04,E87
C76,J15
K66,N82
J20,M48
H05,H91
R32,T39
A27,C53
C32,J98
K70,Y45
K20,R54
C00,D68
C14,C78
G10,R27
E56,I44
J12,R59
K92,Y46
I35,R20
E53,R53
H92,K92
I50,R48
E03,I51
D71,R11
F20,T48
J01,J05
C34,D00
D61,D67
N19,Q43
B45,I80
H16,J98
K56,M33
I95,Q67
J32,R51
B90,F34
K76,N26
A04,D16
D15,N39
R15,R32
E84,G50
D89,J33
G41,N39
J12,J85
F43,N41
M81,Q98
C67,M88
G00,I10
C88,R53
C30,H65
J44,K65
M48,M71
L40,L50
G25,K52
J70,T47
D45,M10
I42,R18
M94,R42
I67,L42
A40,D37
E87,G92
H52,Q04
E40,I44
B19,E41
A52,F63
C60,N35
C41,J44
A52,I01
C70,R26
C71,G92
M54,T78
D73,K91
E24,K51
D33,D64
G62,L89
K85,T81
C11,C41
T18,T85
K52,R53
C76,R13
D12,F33
F43,H26
G72,I27
F60,S70
A41,H51
I74,S34
A30,G91
B96,G21
C18,L03
E29,Q64
C41,H04
D65,E83
C48,T85
H05,M79
A46,E73
K11,M19
B08,E87
D64,M95
R53,T73
H16,M06
K14,K50
H72,K22
E55,M11
I95,T40
I25,M95
M10,M71
A59,S03
D68,M72
I73,K13
M15,N36
C72,J43
H50,Q87
D73,N00
F90,I09
H40,N39
I44,M33
E16,J70
C14,C49
G00,L89
C18,D72
D42,F63
T40,Y08
I77,M05
L89,Q40
D50,P15
C69,L27
E87,R48
K56,N45
D72,S01
H61,K20
I46,Q82
D67,K76
K30,R53
K26,M25
J04,N19
M95,T85
I25,I98
C71,R48
G30,I95
G25,L28
A06,L84
G93,R03
G21,L89
H16,S52
I51,M62
J43,J70
G20,S37
J38,L10
A40,I67
J98,R29
T48,Y44
J12,J94
A04,H90
J47,M45
K38,N84
A07,N28
D31,K59
B96,T48
D32,K40
E03,M05
C92,E50
A75,B25
I82,Q05
I01,L50
I71,Q61
F43,T59
G63,I35
J12,L03
I67,R54
I49,J20
I49,M94
I79,L10
D68,E73
D50,R31
C68,N19
I45,Q26
G41,I40
I20,N04
L91,N64
D64,N20
B43,H34
D16,T81
G41,T38
F45,I69
C23,T38
J12,R70
L98,Q82
I83,O75
I25,N20
M10,R78
D81,S97
C67,T62
F33,J20
A40,D56
I71,K56
D69,I51
E34,F22
H05,I99
C58,E87
H91,I77
L40,R51
J04,K21
A04,E22
A40,M76
N30,N90
F60,K29
K00,R79
H54,R23
M13,M19
A46,M35
E21,I84
D64,Q89
E86,E87
M19,T84
A07,E03
D37,G41
G25,R26
C79,E16
F07,R27
I25,Q89
I20,K11
D01,S42
I95,X95
E14,M25
D55,J44
B34,M89
I27,L03
J21,J38
K36,R59
H53,L29
E07,I65
B01,J96
E22,E31
D72,F63
G25,Q80
G03,I10
D72,I01
S11,Y44
C22,K63
O08,R40
S27,S53
I80,K58
F63,I77
D68,N42
D30,E86
J13,M93
D59,E63
N50,R43
I74,T67
H30,H34
K56,R27
E53,M11
B00,I69
G23,G70
F68,L90
K13,R23
D61,D69
C91,J35
M11,N04
A30,L51
L91,R06
I42,K44
H18,R23
E50,N34
H83,M14
H20,I13
A02,A05
D62,H33
M93,N34
J41,R60
E88,G43
I72,K27
C24,N20
C61,J44
G35,K91
H27,H44
C34,C70
I06,I27
I95,J98
M13,T84
H34,M30
I51,L52
C96,G62
I77,R59
J70,R59
L13,M15
K25,S03
C95,N17
D45,Q27
G91,H49
C78,K60
A08,T79
I44,J21
D72,D73
D68,M35
N27,Q89
C76,K07
R07,R57
J46,T48
I73,K28
B37,O40
H10,K20
G37,R54
I87,R32
J00,M30
I44,R01
J70,J85
D35,E73
D13,J44
N39,S51
I87,O22
B37,F14
B02,H74
C41,Q38
D16,H90
F20,T90
G03,L89
Q01,Q04
G44,R03
C79,J37
D36,I89
B07,C79
N70,N89
I77,J15
Q28,Q64
D32,P03
F31,L87
I49,Y43
A41,J06
B78,R63
H33,I42
H34,L93
I49,I78
D64,R71
K92,N32
H81,T16
I51,K91
B25,D58
J12,M31
F31,F70
J30,R61
L05,N75
R43,R60
I25,R71
G10,T79
J06,J18
A05,D32
D69,M05
D02,Q34
H90,J41
B37,M33
I44,R27
I70,K66
G72,H40
A52,R32
D73,S70
A04,K58
C79,I87
F70,K56
H02,M14
H54,I49
I95,M06
D32,R63
K50,K62
H61,R64
M89,R26
E03,J15
G54,N32
C04,C76
J41,K21
D16,E22
I21,R32
D48,G30
A06,D50
G56,T85
I05,K74
D81,K22
I72,Q43
C33,E21
C67,I70
A52,I82
A42,K14
D84,I51
M72,Q70
S49,Y60
F39,J41
E04,K44
A79,D61
K90,Y87
J14,J62
H36,I33
I21,I82
E16,M25
E86,R18
A05,J96
E88,K56
I25,R17
I45,T67
I95,L74
C91,C95
L23,R32
K63,R53
I61,K80
M70,Q06
D50,P01
E73,S10
A04,N17
I77,R13
R53,T85
R26,S05
H90,R21
J86,K62
C11,H70
C79,C85
G57,R70
I07,J06
N20,N25
C34,F10
K92,Q39
J98,Q25
E73,J96
H18,I49
C78,D38
J18,J30
A68,I13
