code1,code2
A52,C71
H36,L84
K25,S11
D18,D35
D69,E72
F31,M15
I21,N28
L98,Q66
I10,Q28
G93,M89
D13,Q61
E88,J96
E58,T36
J42,N28
L93,M13
L89,M14
D64,F50
F22,I95
B02,I74
C17,K01
D61,Q39
H04,L29
J18,Q74
F25,K56
A49,N50
C78,T80
J47,T17
M06,S04
L08,S87
D07,R63
K66,N89
G90,H52
H44,H81
D74,F01
Q12,Q90
I69,N20
I73,J64
D31,N39
G60,K82
L08,T67
H40,R05
D52,K56
C90,T85
I81,K63
C96,D72
D62,K13
C09,H66
B68,C16
I31,J46
L44,L51
L72,M70
K63,N73
I24,L40
J99,K82
G57,M22
D50,T43
K63,R57
M12,M65
D15,R55
J32,R00
G41,R55
G93,T84
K31,T19
J86,R40
B02,T42
I69,Q89
C93,D75
K04,K58
D27,N88
B00,E63
D12,J20
C21,I84
E29,F10
K63,N13
H93,Q16
I27,J34
E86,S90
K40,L82
E78,K76
I20,J70
M89,Y56
A30,T66
I35,K29
I74,N36
B55,M31
K59,S50
B37,B40
E03,L25
E83,I98
E87,M05
I80,L43
A27,H54
N17,Q40
N26,R79
C80,E50
C41,G52
I72,J42
R96,T82
D65,J13
H50,I65
A36,C76
G35,K90
F71,N50
I01,I25
D58,K08
E86,J85
K90,M12
F45,T78
I99,L01
K10,K81
D18,L89
G20,M45
H05,H43
A40,A53
D09,N48
B66,C65
A53,J02
G57,M93
I80,J98
I95,K62
C95,J98
C79,D69
M49,T82
F91,J41
G60,M48
H83,K22
D45,I61
K21,S87
J18,R12
K27,Q28
G70,R63
A81,R40
I95,Y87
H40,R55
B96,I20
F34,G20
M46,R07
D65,R60
D59,K70
G41,M46
I86,N90
Q44,Q50
D86,D89
C26,K66
A53,C53
G03,R09
I51,Y63
D72,N28
N45,S30
E05,I35
G60,I45
D10,E30
D29,D30
J20,K58
L89,R53
G44,M19
I67,S00
H70,T66
G41,R15
A51,M89
I51,K90
B07,H61
B08,D72
G72,M88
S27,S63
K62,R33
K12,K59
S42,Y63
J98,L12
I77,M93
J38,M62
K91,R25
A27,M10
H83,R26
I50,J15
A30,I26
C91,K05
I69,R71
N41,T19
J44,L30
L13,R32
E28,I67
I82,S03
D14,M05
H61,I73
I79,M62
I80,M06
N60,N64
K92,S51
L12,T87
D00,R06
M87,R31
F10,S71
J02,R09
C92,D45
D73,I72
C88,M32
K50,Q44
E63,T46
P11,R42
G10,R63
L03,R54
N21,N46
H34,I15
J44,K31
D72,E03
E03,M93
J18,P11
C54,E65
G63,K86
K90,Q44
M05,Y45
Q39,R05
F42,R13
I38,J43
H54,T85
M21,V97
D57,M20
I02,I47
G44,T84
E41,J41
D16,H70
I33,M70
I80,L74
H40,M46
I45,N36
A04,J98
D12,I78
K52,M32
K26,S41
C06,R25
G10,Q23
D59,K66
A41,L89
E03,G50
D62,K28
K36,N70
R23,R70
H40,Q34
H91,J45
I10,N28
D64,R03
F98,N20
H40,R15
I77,V91
C95,S52
E86,L03
N83,N88
G56,H74
H28,T38
I25,R03
E87,R59
C48,L72
H35,I67
H10,I38
I15,I72
I50,R13
E27,N04
E86,R70
A83,C67
J98,N82
D72,R19
H02,R26
L71,L85
G24,K20
I13,T87
S25,T18
K13,T85
J44,M70
I82,J12
H65,R20
G80,H54
H18,T85
C79,G04
E83,S72
D12,Y65
D21,R59
G83,V91
D80,K56
M75,R19
C94,E83
E29,J00
C01,E63
L89,T39
E87,J15
A41,C66
H54,T75
D86,E24
E85,E86
G47,L93
K30,M32
M35,N04
N23,R79
B01,C72
E87,O08
A41,M61
B40,E86
C71,J15
I86,K03
K20,T42
G51,Y87
A04,M06
E78,I43
E80,R79
D38,R94
M62,R31
H11,K20
F31,L71
J38,L52
H35,M76
E24,G44
I07,L89
G25,T65
H72,J06
H92,R13
R64,R94
B56,R44
A19,Q89
J20,R82
Q06,R31
B02,I84
C04,D01
E58,F33
K61,L90
Q39,R55
F03,K11
B36,J03
F34,G50
E67,R23
I95,M79
C06,K14
I15,Q64
C46,N25
D36,K82
K12,R09
A04,B36
D15,D21
E55,R11
E83,R17
Q68,S41
H60,J35
R26,R78
D12,I81
G50,M19
I44,K40
I20,M25
K85,M06
H27,Q11
L51,T87
D68,R42
E14,F06
D14,R59
C79,G95
I01,R00
G90,T43
G50,M89
J98,T48
J39,J42
B35,L60
E50,F10
L56,R21
H43,M20
J18,N25
H66,T70
E87,R13
D01,E41
C31,E34
C93,E83
I69,L53
A17,C61
C60,L41
E16,R18
K21,K86
K51,M93
H66,K20
J30,N34
C71,R13
P07,R59
K27,N28
A18,I69
S44,T81
B44,D58
B86,L23
K86,Q43
C15,C22
S10,Y62
C81,M00
D16,J98
D14,J15
F07,P03
D12,G72
D69,M93
C64,J18
G60,Q05
I45,R51
C64,R33
A21,D27
N35,R79
D68,I30
E54,K70
E55,S72
I49,M33
J43,R18
C91,L29
N39,R44
K29,M77
A07,B59
I67,I74
C20,N32
F63,H72
A04,I06
D75,H44
H05,H35
A40,L84
D45,H26
F63,I13
F07,R63
G03,G71
F50,K04
K56,P03
H26,H44
C61,T19
C26,R79
F39,G51
C05,R64
C56,E41
J15,K85
S25,Y36
D47,N00
L20,S51
C24,C80
F33,R12
C30,K10
F42,M31
E26,G20
E27,H10
K25,T67
M11,M25
C41,D64
C09,K70
J38,J70
L93,N28
F80,Y60
M21,Q73
R04,R19
A69,C78
T31,T59
H40,Y50
F07,Q23
G20,L08
R40,Y63
F34,K01
D12,L40
G92,K73
E53,N39
L08,M84
A24,K92
L60,R20
A80,J96
K04,M47
F10,J44
G63,M14
C77,E27
A41,C93
D16,M06
I46,I60
E22,J42
I67,T42
I74,K52
C40,L98
D14,R13
G03,H25
N40,R39
E73,H34
J43,Q84
M81,Q96
E67,I49
C04,K03
C88,N39
E24,J33
B65,J45
E53,Q24
J45,Q28
I50,K07
G93,N35
G57,G96
J32,Y63
J42,J45
C57,N80
A40,J42
G41,J04
H01,L08
K41,N73
K41,R57
L30,L94
C72,R40
A66,J69
B35,B71
C15,D69
J14,T52
P07,R13
H01,R11
J32,K90
F03,G45
D75,H05
I71,K29
G72,I70
M62,Q76
D12,D24
G51,M79
E76,H26
K31,M93
K92,Y49
A49,S63
N30,N97
D27,N81
J69,K10
M06,N73
F33,P11
M06,R57
G62,G81
K52,N39
D59,R79
I50,Y42
E21,E73
E16,F06
F70,S70
E16,G62
I60,R47
J43,S41
G20,S72
J47,Q35
B94,L03
D42,J45
E80,N45
I95,N36
H50,R20
L05,T79
F63,R07
G56,L72
C79,C95
K83,P02
B86,G30
I74,R57
Q78,R60
N70,N75
G92,I50
H92,K07
I44,R63
C00,F20
D51,I73
L82,N43
E72,R94
J41,R54
A68,F72
J00,K29
D71,J44
I70,J13
D12,R25
I20,I67
I73,K41
A07,K81
I51,Q64
I36,K30
J06,K76
K63,M32
A87,H66
H10,I07
E83,I25
C38,K40
D89,L13
B02,J01
M60,N19
G00,G81
L13,L20
J69,T18
R63,R94
D84,M93
A53,Y55
I05,J13
E41,F63
I44,Q23
D73,I31
E03,G96
K30,N39
G70,L71
H26,H33
J96,P71
E87,M31
I49,J21
H10,I95
M70,R53
I69,J18
I69,R33
I81,N50
A04,T82
E88,L21
F39,Q66
C85,M00
C55,K63
C15,T17
D07,N17
I70,R60
H54,J12
G37,T42
N04,N48
D86,J96
J69,M24
I20,M76
A44,G56
F43,T70
I62,I72
D21,M31
I45,K52
K37,K56
A68,H02
K50,K65
J35,K13
C58,T66
J43,K44
E85,Y60
I05,R60
N35,N45
J14,T85
F43,K20
I50,L85
K52,L70
I86,N04
F31,K75
D40,N90
I08,S10
K21,M14
M48,Q76
I15,I31
S63,Y87
E86,T66
A19,L53
E21,M35
I08,J96
I49,N25
N15,N73
B36,H01
A40,D50
D15,J60
E78,H83
I74,R26
R70,T84
D48,D69
G41,J60
F70,K29
R13,S50
I28,I42
J33,T17
K56,T81
M30,M81
C41,N61
H61,S37
F03,T19
D12,K14
G43,L50
D64,S42
J86,K65
L40,Y63
F33,N25
D47,S70
L08,R53
B02,S04
I87,R07
B44,I26
B85,I73
K65,Q43
F31,I70
D61,M19
E72,G90
D14,M31
H91,I38
D61,L29
B45,K59
H34,L00
D13,D64
L29,L57
R60,T40
I78,K26
L50,L60
D52,D64
G63,L60
E28,I11
C77,E87
M11,M76
M10,Q76
A69,B27
B07,L82
I70,K21
E14,L84
E88,G03
G92,N73
N61,N63
D72,N23
D31,D62
G92,R57
E28,K27
A41,A66
S80,Y63
I35,M54
G58,I77
I71,Y44
I06,I70
C80,J43
C13,Y44
C30,R40
D53,M19
F41,J30
H69,R07
A69,C38
D53,L29
I31,J43
K83,R57
S70,T84
A41,N90
G70,N17
C15,G95
F63,I38
J69,Y36
K30,T38
D75,J99
F50,L30
A80,F03
B02,F34
E86,F31
G91,G95
I67,I84
I21,R07
E53,T51
G40,R79
K11,K92
J45,N28
G61,R57
E87,L85
D62,H91
E07,K29
A88,E87
J42,R07
I46,R94
Q04,S31
I51,Q84
D30,I10
R57,Y42
H61,I02
J69,J93
B37,P03
M45,N26
D58,R53
D61,T84
M81,Y36
F50,K31
C03,J01
D18,K03
D59,K02
G30,S72
E87,F43
H35,I11
H81,K28
K30,N03
G81,I44
I36,M54
C90,K20
C32,K22
M48,R79
E14,J42
I80,K86
G03,G81
F91,R32
I67,N48
C70,R55
H36,H54
N45,O03
D09,I50
G35,R29
L87,M93
B37,R63
D32,J98
H52,M79
L89,N63
K21,R53
G25,G56
D53,T84
C17,G41
I50,K74
J96,R54
N19,Q27
J69,R40
K52,T51
G04,T66
M35,M73
I45,R26
L98,R94
I43,M10
F48,N25
A49,F10
B59,K29
C79,C80
D47,K29
B59,G03
G20,I25
I38,M96
C02,F91
O87,Q79
D47,G03
M88,R60
C76,J13
C50,H40
E83,R00
N95,R33
G30,R17
Q11,Q15
E56,N19
G25,R05
G43,R51
H36,I08
E65,L72
M10,R79
J44,L89
B68,R21
K75,R04
C75,R63
K44,R44
J01,L42
C31,J32
H00,I65
G82,M15
Y55,Y58
H02,J39
A52,D47
J99,M81
K63,N39
M77,N20
H16,Q80
H33,I13
R53,T67
A19,J18
F95,L50
A19,R33
L10,T87
H61,H69
M19,R48
D64,S06
B45,R09
E40,N19
C63,C78
G56,S30
G41,Q38
I25,S06
E16,L84
I89,L53
K63,Q24
G37,I84
C77,R18
R27,S50
E41,R32
A02,A06
D15,S73
C70,R15
D33,M85
A04,K86
C66,I25
D48,G95
L03,L43
C37,C46
J02,T55
M31,M65
L04,R60
A59,R53
I02,K50
I51,K44
G57,M60
D72,R07
R18,R19
E41,I82
C78,E87
J32,Q64
A87,J67
I72,M10
A49,K61
J15,N41
T81,V91
C00,L98
B27,K81
F60,R31
H27,H91
I70,T69
D50,H20
M75,S30
B36,L68
D27,K80
G03,M62
N45,S37
C46,I27
C21,N73
P55,S06
I95,K52
L08,Q91
B86,E16
E86,G47
D07,D28
E27,G20
C32,D09
D64,G70
F43,I21
K85,K86
M14,Q66
H11,K00
C17,C57
C06,G51
K29,M30
I05,T69
C64,C72
G25,R55
E16,J42
J03,J15
G62,J70
G71,I09
C54,D28
J62,M70
I73,K65
F06,I65
M10,M33
G52,N04
E41,I77
I77,M60
A37,H91
A81,E86
C65,N36
I82,K04
L50,O88
E22,F39
I38,K62
E67,R40
I07,K03
B00,J03
D09,N13
E86,P00
D64,K76
C74,N39
R05,R06
F07,K58
M22,S80
H40,S73
K09,R01
I25,K76
J34,T90
A40,F39
M54,M75
T58,T70
E86,G61
I30,Q23
H61,N76
I47,K42
J00,K30
P15,R15
D51,T39
A93,C67
K29,L93
F80,R44
M62,R27
J01,Q04
E03,M60
A07,H02
I10,R07
A17,L30
I28,I77
D58,M11
F71,K61
K56,K58
G52,K11
C57,L53
C90,R64
H91,I07
I35,M94
K80,K81
A64,W53
M76,M94
P26,R04
M22,R51
R54,S82
N40,N51
D15,I51
K62,N34
D83,D84
F95,R51
C77,G62
H91,I95
I95,L28
K41,P22
B02,I50
H02,H18
I80,M14
C04,C34
J99,L94
B36,K13
A27,I74
J18,L87
C56,S35
C18,Q45
C69,H57
I28,S25
R20,T42
M06,M32
E21,I71
F63,I07
D32,F07
C54,R30
I77,M51
J15,T59
G30,I25
M32,R51
T37,T40
G35,L51
D39,N28
D72,E78
F20,Q04
E86,T43
B00,E88
C75,D16
I36,J20
I95,K22
A53,F60
I02,I71
D50,R63
L03,L72
M10,N45
C09,K02
A32,C78
F20,H44
J20,K04
I74,M32
F63,I95
C24,K76
K76,R18
K13,M41
B35,K43
G20,R00
D68,J33
D66,K56
B48,R90
K44,L82
J31,Q62
C78,R18
R04,R07
I20,K27
A53,B02
K44,L01
G47,N61
B07,N87
J33,R90
C76,G83
L72,N90
G91,R03
I65,I97
D89,K29
G40,R27
K91,N28
Q16,Q84
D75,J98
C17,H93
I44,K58
H26,J98
D89,G03
C53,N32
F72,R00
D29,H31
J13,J30
I95,R26
M40,S80
A39,G41
D65,T85
I51,L51
J02,L52
E65,K08
N81,N89
C33,D61
H11,M21
H20,M45
I95,Q80
S10,S49
B37,H28
K63,P61
K61,L01
G37,J01
M48,R27
R60,S34
R23,T87
A04,Y46
F41,F65
H54,Q06
B37,H90
L60,N61
L12,R96
M35,M93
Q72,Q89
K76,Q84
M08,R53
C05,E40
C32,C33
A31,J47
F71,F91
F22,R51
F20,H05
C18,D61
A88,K44
A22,A23
I44,N17
M10,R01
M54,R23
I60,Q28
D50,S31
C18,K38
T28,T79
E80,K82
I06,N42
A04,I86
I72,Q27
K70,T42
L25,L85
D72,Q79
S25,T68
M67,M81
G54,J96
F06,K56
I30,T81
C38,E22
G45,T78
J02,K91
I35,I78
K90,L90
F42,Y64
H04,M25
K56,R82
C88,D62
D75,M06
J13,K14
R06,R33
G56,I73
C40,I71
I13,R04
H26,M06
J39,M10
I12,N25
L89,N26
M79,R54
N19,T15
I20,Q43
C15,C80
E31,S98
E53,E56
I38,M79
D00,J37
D69,M60
B37,E22
D21,G61
K20,K73
C17,C74
B01,H66
A20,M24
B02,R57
C12,C13
M10,R27
J04,M06
K85,M14
J00,M54
D02,D64
F03,V91
D73,R31
A03,E87
F10,G60
D61,N35
G51,L28
G82,M88
B02,N95
Q69,T87
L93,R07
C76,Y84
K22,R03
E22,H54
D64,I43
K82,Y84
B35,M19
C67,N32
B25,D61
I50,Y64
A51,D12
D62,N81
B96,H44
I25,I43
J86,Y60
I45,M32
F10,J85
F45,H01
C31,R15
G83,Y52
D45,I47
A40,H54
A41,N04
C06,C13
I26,R04
E40,K40
B37,C00
B48,K63
I36,I78
B83,I20
H93,J42
G51,K22
H35,Q65
H26,S52
G92,M32
H54,I80
J41,R45
D31,E27
B45,C90
C16,D73
I79,K30
M54,S49
L98,N81
B86,H61
K13,R64
D48,R03
K83,M32
H61,R09
E24,K56
H69,I95
I62,L51
A52,I95
B81,K75
C82,E87
C33,J41
D13,F33
I02,I09
J03,K07
K51,M51
D52,F33
D58,N76
H10,Q50
G63,N63
G96,M40
C50,N64
I80,L60
E14,F39
C95,L60
E83,Y63
I70,T73
N87,Q65
A41,K11
C55,N30
I21,I95
M45,M62
C50,I97
I82,L30
C10,J42
D83,R51
H33,I73
H81,H91
B35,T84
C18,J41
E83,K90
Q24,Q63
E80,I45
G80,T42
D13,I69
G51,R26
M15,R05
A54,J15
D52,I69
K04,L30
B00,H01
F34,J13
F90,R20
H25,J42
E56,G25
H54,K04
I82,K31
H54,Q37
M25,R60
D16,D59
K41,N39
B36,B66
F41,F60
G80,P14
G21,M25
C95,N71
G30,R00
R11,R54
A40,M10
H65,I69
D80,J34
G81,K66
D89,Y44
D16,M14
F91,J69
K04,K31
L08,N63
D10,D31
C71,E14
C72,E86
A03,M02
D10,N35
E87,T87
A05,I44
G63,K05
I49,L87
R00,R63
J01,J99
E87,Y64
C78,G91
I13,M15
M06,N39
H16,I79
K41,Q24
B71,E86
G41,S90
D15,R59
B15,H65
B37,K58
E40,G25
K41,R11
F34,R60
E73,I44
C23,R59
F33,L87
B25,J41
D58,K59
L03,T67
I13,M01
F71,H52
A92,J06
G58,H36
D45,L98
F33,F70
I74,N39
F10,L03
N28,S51
B81,I47
K74,M81
C78,E23
G90,R04
D67,I20
C41,E80
M06,R11
D84,M60
F20,P21
H17,H25
E03,H53
H81,M79
B02,E05
I26,M15
I95,S51
E73,H66
H60,H95
H90,R07
B96,C41
A04,L60
I87,N43
J20,L30
K21,K59
L94,S06
I45,J39
H90,R94
C16,N83
B37,N17
F90,G52
G41,O08
E85,G56
F48,I27
F50,L89
M15,R55
A27,N48
K27,Q79
S50,T45
S68,W17
B40,G56
I35,L40
B90,K63
B25,R21
C11,R26
J20,K31
M65,Q65
E55,K90
K56,M47
J70,Q45
K51,R60
H54,J14
J41,L72
E41,J69
G35,R31
F39,R94
D06,K04
S51,T50
J01,Q67
R25,R48
A04,N71
C18,N85
I67,P02
L75,N83
C95,Q39
K85,L60
I51,P15
D00,M95
D61,E41
I27,J41
J39,Q27
J31,K81
G62,I67
D72,I95
E16,F39
M21,Y87
S10,T18
C10,D50
K20,R57
C75,N17
A41,C34
C79,K76
N60,N80
C65,N13
E34,Q35
K20,N95
G83,Q45
D15,R13
I69,N34
D59,R23
J32,L51
G41,R13
K70,N48
A32,J96
C80,K62
A42,B59
J69,T68
A87,E14
K36,K38
H05,L01
F34,H53
C57,N87
E03,G83
J98,K40
D50,H60
I05,T52
D59,M48
I46,I83
L27,N89
K35,K50
N19,T42
K59,K62
J41,Q26
I51,R31
J04,J36
J96,R45
B74,F45
F48,F70
E24,R20
J00,J20
G45,M85
I27,R21
D62,I83
M15,M46
L90,N32
G00,I67
I73,L90
E63,J86
C13,C32
Q60,R11
J44,K03
A53,F41
J45,R07
K26,M10
I45,N39
F33,G23
E28,J30
I30,K58
E14,H54
G90,M15
B37,B47
B37,R82
H51,R26
M76,R25
C34,O87
G20,Y63
C15,S42
F22,S10
G41,R70
G92,N39
H11,I10
I83,Q99
I01,I31
J21,K04
B02,D10
D58,R09
I10,I95
C81,D75
G20,K90
G23,I20
B96,J99
R26,S50
E85,R55
D45,E73
K38,M12
K83,N39
A04,Q39
J14,Q06
I77,Y84
A36,J15
K86,R54
D16,L60
F33,H40
J63,J98
D50,M88
D02,J34
G92,Q24
I46,K22
J13,M13
K74,L94
C93,I49
G82,I70
F60,J21
G63,L29
I30,N17
G92,R11
A40,Q27
B88,K28
F10,F44
F20,T40
F34,H93
K60,R51
E14,I08
A69,G03
M54,T18
D64,E32
H52,R26
A27,N40
D62,K22
F34,G83
J03,K74
A51,H11
D56,K30
Q27,R09
H50,I69
H10,L50
H35,J30
R33,Y83
H15,M89
I40,S51
I70,T85
G37,I50
I47,I74
G80,N48
Q74,S00
H35,R47
I71,Y43
H40,L03
E14,M10
G81,R79
I71,I78
A69,B35
C13,Y43
A87,K02
F45,K13
C13,I78
E22,F48
G43,I15
A52,S98
E83,I72
I36,R47
H16,H18
H40,R70
D59,I49
J14,R64
I67,R57
M25,T69
A42,K81
B37,H50
F10,F91
M12,S80
K59,N88
L50,T84
D51,R09
I62,R31
I21,S98
A40,F48
L85,R07
A36,R13
C20,K56
C11,D10
D62,K80
D68,I65
C50,D05
I37,Q61
N20,R30
D44,E03
L44,L83
A17,C95
F48,G23
G92,L70
M21,M79
N00,R00
E26,R60
E40,T81
J98,P03
K38,Q44
L40,L51
E21,J32
Q03,R64
K28,R55
M33,M35
A41,E72
F34,T69
D73,M33
R53,T39
I70,T75
C76,L92
C20,C21
H60,J31
I45,T38
J96,L72
L66,L85
J43,R12
C74,D62
N26,R40
D50,N17
D45,M35
A59,R09
D04,K56
J98,R63
F48,H40
F34,Y84
I09,J13
M48,P59
G41,M31
E16,H54
A84,D50
K25,K59
N83,Y49
I97,K92
J18,Y83
C80,M79
I67,L22
D33,H01
F20,X95
E83,Q64
G03,I67
B88,E55
C60,G24
A31,I84
I95,J39
I50,K85
E03,E06
R78,R94
K51,Q68
B58,H47
K59,M79
G83,J41
H10,S80
I26,L71
R01,R19
J41,T67
J98,Q23
C18,D73
D50,T62
A40,D68
J32,Q03
I42,R04
B37,D28
N30,Q43
A98,R53
C79,J31
C03,D10
D64,F10
L41,L53
C90,E40
B35,D31
E54,R23
J18,K81
G56,M11
B35,N35
G91,S06
I78,Q45
I09,R60
M54,Y36
K90,R44
I26,M88
E56,H90
H36,I74
C85,D75
C46,R06
H10,R51
F40,I70
C50,H02
Q05,T81
C21,N39
I42,R96
Q39,R13
G56,I02
G03,M76
F20,J98
B85,R09
S02,S11
W17,Y62
K92,Q21
F70,Y43
J13,Q28
K13,M70
A66,H92
D02,D14
B35,T46
G30,Y63
D41,K29
D09,N39
E55,E87
I65,X92
C56,N89
A68,R17
A04,C18
H81,P28
J98,S31
E16,M10
J01,M06
G30,K90
H40,M31
L44,L87
M32,N00
D18,G20
C21,L08
A23,E85
C07,T66
N19,N48
D56,M54
I72,I74
N76,R15
T51,X95
I38,K52
A27,F34
C21,R11
C48,K59
G72,T17
C83,M19
G80,Y83
J34,K40
C79,D00
G72,M86
D02,I69
K06,K09
M10,M48
M54,R40
H73,M25
F41,F45
J43,M10
D09,R11
E67,E86
G43,S70
D31,F06
D28,K04
E21,R05
D58,G71
G90,L27
G92,T51
C50,L04
G82,T49
D16,O88
E87,K85
G93,J86
D68,Q61
I51,Q74
L71,N41
D39,R07
B37,R30
I81,N82
L85,Q12
M46,R51
H43,H68
C15,K76
B19,I08
J39,J47
G81,N45
I71,L40
L13,N32
D15,E21
K21,N26
J44,N04
I33,K11
B55,H26
I80,N63
B58,I77
I24,R94
J21,L30
I83,L98
B83,H46
G81,K02
C51,C52
D68,K56
B45,K91
I27,Q82
H33,I02
C52,R64
L03,M14
C18,N83
R35,T87
S51,T27
I12,L87
J64,R31
A28,W53
I73,J06
N26,Q44
I42,M15
A69,M71
B60,D69
C17,T85
F20,L74
K91,R07
E06,G25
L29,L42
I84,L05
M79,R45
G90,M88
G51,J39
C80,E58
I82,O92
I99,K07
B90,J44
H54,T13
E23,K75
E54,I49
B55,M15
N20,N42
A18,B58
I10,S98
L04,T85
B44,H20
I38,L28
N73,T19
D62,S51
I20,J30
B00,K28
A02,N19
A18,H44
J15,L98
C80,N36
E29,R63
D51,N26
L89,N97
C91,E31
G83,T14
B96,J98
F01,R36
E22,S00
G25,M67
B48,N30
L57,M06
C01,K13
K44,M00
M08,R09
D47,I78
D74,K03
C37,M70
E14,F48
I05,I48
A41,C56
I38,K22
G80,S04
H04,K27
I47,I84
C43,R59
E53,E87
H44,I49
C76,H47
G25,I51
C62,F70
I11,Y43
J69,S14
I11,I78
C66,I72
I82,L89
G43,K29
E22,J47
K22,K76
L57,L74
C18,R32
D32,L60
J96,K08
J96,T67
A41,L25
A31,J01
F60,Q78
J67,L50
D51,H25
I49,M81
A40,J47
C96,M15
N28,T38
B35,E41
E30,F20
A55,C80
G62,K27
M25,T73
C55,L03
C18,I82
I38,R26
G45,J03
F31,T17
I49,N64
J69,Y60
I95,T38
I78,J41
H91,N27
B96,M06
A42,G54
E83,R29
I70,J12
B42,S14
F33,M81
N25,R04
G50,M40
I13,K75
E27,M51
F60,J38
B01,R79
J00,R25
C11,J39
F33,N64
K85,N63
E83,I31
R11,R45
D57,M32
B38,J86
A59,H25
I95,N03
E63,J02
G54,S85
H83,K92
D75,Y46
I30,I35
B02,N39
F34,T73
L03,R53
J13,N28
M48,Q05
M95,R09
I45,L66
K62,K70
L40,R31
I49,S40
J86,L01
C66,Q64
H70,L27
D45,K51
M32,S70
I72,Q62
E21,K63
A53,I13
C41,D61
H93,I08
I51,P11
I73,K12
E21,Q34
M35,M51
C54,D69
B44,R63
D47,I81
G92,L66
G04,I61
I26,K75
H25,H54
B02,Q24
D75,I86
F33,K81
J12,R32
I13,I70
B02,L08
K56,Y47
C25,D75
J02,K30
E86,G58
H61,M62
E87,I61
L52,R07
B38,L57
B02,R11
I25,L12
N17,S88
J43,Q27
I73,R44
K70,K73
D38,E24
C81,E14
R30,S44
G51,H18
I49,R06
T38,T39
F60,G63
J01,J36
C91,S36
C46,G54
D66,H11
K40,K70
R32,S41
A48,S87
C25,K70
E86,R04
D56,J20
A04,A87
A41,M93
K59,N81
D47,G72
D68,R20
R23,R96
F33,R06
C43,L03
C68,M14
I26,I70
N21,S37
E78,N19
N75,N89
I13,I47
E28,F60
E03,I42
E27,J13
I27,R32
I46,I79
J00,K14
A04,K43
D50,R30
B88,R94
H01,R18
H36,N48
L89,M23
M45,M76
D59,R40
D00,J18
T45,T66
D65,R64
E75,R70
H81,K22
I72,I84
A06,K75
K62,K66
D62,I79
M19,S20
F22,S70
S52,V91
G93,I20
J14,M70
C09,K10
N70,N88
R47,S80
G61,T80
J01,T67
I88,T69
K03,L22
I27,I82
H44,K10
A31,F34
H25,M10
M41,Q76
P03,P10
C95,M19
I51,J21
B65,R09
M40,S70
B02,L70
B48,H30
F48,N64
C43,D72
C95,L29
G12,R60
I80,L29
J46,M06
C70,O08
B46,D61
K25,N26
A87,M75
D16,D48
B59,L40
T79,Y52
I26,I47
I44,Y47
D65,I80
D47,L40
G51,I40
I67,M32
L29,Y40
I49,L94
E27,R60
H91,S80
G51,T38
G21,Q43
B08,E65
L12,L98
H90,Q01
I07,M93
N82,R09
G60,H61
A71,I51
D64,G21
E41,E51
R47,R51
T28,Y51
D11,L90
I83,M35
K52,R18
I42,L27
I69,P39
K40,K66
E85,N51
A48,K35
D51,D52
E22,I74
D64,H16
I78,T14
B40,J60
C15,D00
K36,N83
G90,K75
M93,P03
C80,P02
Q24,Q28
D13,Q45
K10,R00
L30,L82
D16,K05
D68,G52
E73,R79
D29,I78
G57,N83
N35,Q44
C09,T18
F10,T43
M81,R81
A40,I74
M35,R60
I50,N41
H91,R51
L20,L41
I51,N25
F42,H26
F90,K26
A32,G03
I12,Q62
R07,T47
I42,L71
F34,T52
E34,N30
D55,D61
D89,Y43
J04,R53
D89,I78
C70,R13
C74,E27
F45,K62
G41,G47
K66,T82
M93,R63
A53,M65
J15,M35
O87,S80
R13,R94
F60,I27
A81,R55
M31,R09
E86,M15
E53,S41
S15,Y60
E40,J12
H51,N39
G90,I70
F43,F51
A41,C54
E22,T42
E34,G93
G45,H65
I13,L98
F63,R51
A51,N89
G20,R29
H28,L84
J35,K80
I65,M45
C03,L08
C48,N26
Q28,S31
J98,K58
F92,I69
D64,T48
A04,M19
J69,O42
I02,S71
A40,T42
I84,Y46
A04,L29
C63,C64
C68,R53
I43,I97
D16,H73
I25,T48
K00,K04
C65,N39
K56,L30
H92,N41
G70,T17
H18,I10
C61,D61
C68,C77
N80,N95
H46,R07
E83,L51
F22,K29
K67,M77
D07,G95
D69,I01
B27,C91
A68,R00
G56,R09
G41,G61
H46,R94
C43,M31
D51,G81
F22,G03
C20,D12
D12,R07
J69,T65
K58,Y46
L89,M25
D75,L60
K62,Q76
K86,Y89
H26,L60
D12,R94
C85,E14
F41,H72
I84,I86
J42,L50
T51,T67
E27,H53
E87,R96
L90,M89
C88,G62
J38,R47
H54,L89
M24,N36
M00,R26
J98,N17
D13,D61
G25,J15
B02,C37
M25,T85
D69,I42
J32,M33
K20,Q24
K85,L29
B88,I99
C70,D72
C80,K52
D57,N39
E24,J34
D89,E07
D56,Y65
I73,L82
K20,L08
B27,N20
N04,Q24
D64,J05
L23,L50
B85,D52
G44,I20
B00,Y87
R20,R26
K04,Q75
I79,R47
L90,N60
I48,N36
K20,R11
F03,H53
C41,N85
E87,N41
E03,H47
S40,V97
I25,J05
I73,L01
M75,R09
H72,H81
L51,L98
C21,T80
K70,R57
A49,P55
A59,G81
C49,C76
C34,J99
A04,T84
A98,K59
I72,N40
M62,M81
D58,M62
F60,L44
L27,T16
E30,I46
D69,D73
