umls	mesh	icd10	level_2_icd10
C0027531	D019838	S10-S19.9|S19.9	S10-S19|S19
C0039254	D013622	B68|B68.9	B68
C0023524	D007968	A81.2	A81
C2267227	D052018	F50.2	F50
C0020502	D006961	E21.3	E21
C0039841	D013832	E51|E51.9	E51
C0236795	D000647	F44.0	F44
C0006899	D017189	B81.1	B81
C0041318	D014390	A17.0	A17
C0037998	D013159	D73.5	D73
C0086588	D011502	E41	E41
C0028431	D009667	M95.0	M95
C0003126	D000086582|D000857	R43.0	R43
C0004352	D001321	F84.0	F84
C0002831	D000724	B76.0	B76
C0001079	C579878	Q77.0	Q77
C0751571	D014571	C64-C68.9	C64-C68
C0020578	D006985	R06.4	R06
C4317009	D000076385	K57	K57
C0151636	D018879	I49.3	I49
C0037672	D013009	F51.3	F51
C0018854	D006362	C88.2	C88
C0152234	D009436	Q00.2	Q00
C0007102	D003110	C18|C18.9	C18
C0037052	D012804	I49.5	I49
C0018790	D006323	I46|I46.9	I46
C0019189	D006521	K73.9	K73
C0405582	C537770	Q55.0	Q55
C0039236	D013614	I47|I47.9	I47
C1395852	C536332	Q69.1	Q69
C0022610	D007647	P57|P57.9	P57
C0029422	D010009	Q78.9	Q78
C0000768	D000013	Q89.9	Q89
C0029410	D015207	M16|M16.9	M16
C0175755	C535565	Q83.2	Q83
C0010034	D003316	H18.9	H18
C0038054	D013182	K90.1	K90
C0023241	D007877	A48.1	A48
C0152415	D000072676	Q38.1	Q38
C0032310	D011024	J12.9	J12
C0344297	C535358	H31.1	H31
C0027577	D009347	E24.1	E24
C0012624	D015299	M46.4	M46
C2239176	D006528	C22.0	C22
C0037268	D012868	Q82.9	Q82
C1266194	D006689	C81.0	C81
C2745963	D057767	M12.1	M12
C1258666	D045888	M67.4	M67
C0153398	D007012	C13|C13.9	C13
C0009770	D003235	A74.0	A74
C0242429	D010612	R07.0	R07
C0025295	D008586	G00.1	G00
C0009088	D003027	G44.0	G44
C2830004	D000077260	R40.0	R40
C0006849	D002180	B37.0	B37
C0003892	D001177	M14.6	M14
C0030756	D010373	B85.2	B85
C0085700	D002357	M94.2	M94
C1843274	C564356	N10	N10
C0008728	D015267	M30.1	M30
C0751560	D014067	C09|C09.9	C09
C0002063	D000471	E87.3	E87
C0036396	D012585	M54.3	M54
C0019025	D017086	D56.4	D56
C0700639	D046248	Q40.0	Q40
C0025235	D008556	G51.2	G51
C4551472	D002312	I42.1	I42
C1384666	D034381	H91.9	H91
C0020581	D006988	H21.0	H21
C0205929	D012003	K60.3	K60
C0024291	D051359	D76.1	D76
C0410422	C535456	M86.3	M86
C0007860	D002575	N72	N72
C0010481	D003480	E24|E24.9	E24
C0042769	D014777	B34|B34.9	B34
C0334529	D006828	O01.1	O01
C0004144	D001261	J98.1	J98
C0015269	D005084	F65.2	F65
C0265529	D059041	Q67.3	Q67
C0023882	D002547	G80.1	G80
C0020492	D015576	M89.3	M89
C5235044	D020019	B69.0	B69
C0020610	D007775	O92.4	O92
C2607914	D065631	J30.4	J30
C0282512	D018887	F80.3	F80
C0040252	D014005	B35.4	B35
C0002965	D000789	I20.0	I20
C0034139	D011686	E79|E79.9	E79
C0494949	C537375	M35.5	M35
C0349208	D000087122	F30|F30.9	F30
C0019100	D019595	A91	A91
C1527330	D026681	E53.1	E53
C0026769	D009103	G35	G35
C0026771	D009104	T07	T07
C0686619	D008207	C77|C77.9	C77
C0005604	D001720	P10-P15.9|P15.9	P10-P15|P15
C0025303	D008589	A39|A39.9	A39
C0005283	D017086	D56.1	D56
C0282312	D010930	A20.0	A20
C0263386	C538175	L85.0	L85
C0024530	D008288	B54	B54
