umls	mesh	icd10	level_2_icd10
C0236792	D020817	F84.5	F84
C0149870	D053684	M65.4	M65
C0153437	D002430	C18.0	C18
C0024286	D008219	A55	A55
C0015923	D005310|D063647	Q86.0	Q86
C0206186	D017733	K13.3	K13
C0034103	D011671	K04.0	K04
C0037221	D012857	Q89.3	Q89
C0033806	D011547	E20.1	E20
C0917804	D002538	Q28.2	Q28
C0015632	D004675	A84.0	A84
C0034888	D012005	K62.3	K62
C0027080	D009212	R82.1	R82
C0010093	D010048	N83.1	N83
C1261283	D008271	B47.1	B47
C0014057	D004672	A83.0	A83
C0036329	D012554	B65.2	B65
C0152066	D060368	B48.0	B48
C0039585	D013734	E34.5	E34
C0014583	D015423	H15.1	H15
C0023486	D015463	C91.3	C91
C0043388	D015001	A66|A66.9	A66
C0004681	D011009	J67.1	J67
C0024449	D008271	B47|B47.9	B47
C0451681	D020762	G46.2	G46
C0032650	D011151	M71.2	M71
C0042341	D014646	I86.1	I86
C0161408	D020220	S04.5	S04
C0014061	D004675	A84|A84.9	A84
C0037315	D012891	G47.3	G47
C0271678	D003929	G59.0	G59
C0263666	D003882	M33.0	M33
C0041471	D014438	A75|A75.9	A75
C0026113	D008883	L74.3	L74
C0348991	D016919	B45.1	B45
C0702166	D000152	L70|L70.9	L70
C0008924	D002971	Q36	Q36
C0040021	D013919	I73.1	I73
C0027430	D009298	J33|J33.0|J33.9	J33
C0014053	D004670	A83.5	A83
C0032994	D011274	O00.1	O00
C0024591	D008305	T88.3	T88
C0006840	D002177	B37|B37.9	B37
C0022893	D007762	H83.0	H83
C0242490	D000070676|D012216	M77.9	M77
C0520482	D013001	F45.0	F45
C0020534	D006972	Q75.2	Q75
C0033075	D011305	H52.4	H52
C0018926	D006396	K92.0	K92
C0028077	D009755	H53.6	H53
C0040921	D014245	A59|A59.9	A59
C0003507	D001024	I35.0|Q25.3	I35|Q25
C0029421	D010008	M93.2	M93
C0023092	D007835	A96.2	A96
C0013395	D004415	K30	K30
C0003811	D001145	I49.9	I49
C0524910	D019698	B18.2	B18
C0006181	D014438	A75.1	A75
C2979888	D000073605	A77.3	A77
C0521170	D058866	M80|M80.9	M80
C0020579	D006986	E67.0	E67
C0022738	D007714	Q76.1	Q76
C0455990	D015160	P56.0	P56
C0021171	D007184	Q82.3	Q82
C0276180	D045908	B04	B04
C0240903	D056653	M05.2	M05
C0268397	C562642	L99.0	L99
C0016736	D005627	T33-T35.9	T33-T35
C0010417	D003456	Q53|Q53.9	Q53
C0013404	D004417	R06.0	R06
C0034884	D012003	K60.4	K60
C0221271	C536202	L87.2	L87
C0079744	D016403	C83.3	C83
C0432470	C536769	Q97.3	Q97
C0007785	D002544	I63|I63.9	I63
C0024306	D008228|D008229	C83.6	C83
C0311386	D021865	A07.3	A07
C0040954	D014257	B79	B79
C0019343	D006559	O26.4	O26
C0019101	D006480	A98.5	A98
C0079153	D017488	Q80.3	Q80
C0238281	D020244	G46.0	G46
C0010674	D003550	E84|E84.9	E84
C0036439	D012600	M41|M41.9	M41
C0032805	D011185	I97.0	I97
C0014084	D004687	Q78.4	Q78
C1704423	D008209	Q82.0	Q82
C1510479	D020968	G54.5	G54
C0018784	D006319	H90.5	H90
C0153249	D010854	B36.3	B36
C0034088	D011665	I37.1	I37
C0206750	D018352	B34.2	B34
C0392550	D006429	G80.2	G80
C3203357	D014394	M90.0	M90
C0036323	D012552	B65|B65.9	B65
C0152061	D012061	A68.0	A68
C0013100	D004320	B72	B72
C0002894	D000754	D46.2	D46
C0028866	D015840	H49.0	H49
C0079588	D016114	Q80.1	Q80
C0079293	D016107	L12.3	L12
C0151731	D000081011	K76.3	K76
C0021071	D007161	C88.1|C88.3	C88
C0015967	D005334	R50.9	R50
C0010051	D003323	I25.4	I25
C0236801	C562465	F40.2	F40
C0035921	D012410	P35.0	P35
C0020179	D006816	G10	G10
C0085622	D006429	G83.3	G83
C0475073	D020206	S06.6	S06
C0162674	D017246	H49.4	H49
C0162423	D008883	L74.0	L74
C0030568	D010301	G21.3	G21
C0024776	D008375	E71.0	E71
C0206083	D017590	G37.2	G37
C0006826	D009369	C00-C97.9|C80	C00-C97|C80
C0154246	D056806	E72.2	E72
C0153246	C000656824	B35.2	B35
C0009421	D003128	R40.2	R40
C0006142	D001943	C50|C50-C50.9|C50.9	C50
C0024586	D008303	E34.0	E34
C0040774	D014190	F64.1|F65.1	F64|F65
C0022810	D007733	A98.2	A98
C0002879	D000743	D59|D59.9	D59
C0001916	D000417	E70.3	E70
C0178282	D046449	K46	K46
C0153427	D007580	C17.1	C17
C0014067	D004677	Q01.2	Q01
C0020635	D007018	E23.0	E23
C0001860	D000387	L94.6	L94
C0340643	D000784	I71.0	I71
C0003516	D001028	Q21.4	Q21
C0032453	D011081	M94.1	M94
C0452122	C537268	T59.2	T59
C0002453	D000568	N91.2	N91
C0311376	D000086966	A28.9	A28
C0265706	D020139	Q79.3	Q79
C0012102	D004011	B66.2	B66
C0152266	D006689	C81.2	C81
C0432417	D004314	Q90.0	Q90
C0158454	D017759	M84.0	M84
C0152267	D006689	C81.3	C81
C0085437	D016920	G00.9	G00
C0206762	D017880	Q74.9	Q74
C0348890	C538494	D61.3	D61
C0018799	D006331	I51.9	I51
C0040409	D014060	K14|K14.9	K14
C0158940	D059245	P22.1	P22
C0524687	D010930	A20.3	A20
C0035597	D000073605|D012288	A79.1	A79
C0024003	D008141	M40.5	M40
C0008340	D015529	Q44.4	Q44
C0005940	D001847	M89.9	M89
C1527336	D012859	M35.0	M35
C0010043	D003320	H16.0	H16
C0010273	D003394	Q75.1	Q75
C0005417	D001658	K83.3	K83
C0041321	D014391	A19|A19.9	A19
C0263449	D019557	L71.0	L71
C0003950	D001196	B77|B77.9	B77
C0009768	D003234	H10.0	H10
C0162836	D017497	L73.2	L73
C0001816	D000377	R48.1	R48
C0007876	D002585	O82.9	O82
C0206062	D017563	J84.9	J84
C0035460	D012223	J30.0	J30
C0018818	D006345	Q21.0	Q21
C0085315	D016781	B58.2	B58
C0022408	D007592	M00-M25.9|M15-M19.9|M19.9|M25.9	M00-M25|M15-M19|M19|M25
C0018816	D006343	Q21|Q21.9	Q21
C0011608	D003874	L13.0	L13
C0153349	D014062	C02.9	C02
C0036420	D012594	L94.0	L94
C0812413	D000086002	C45.0	C45
C0042237	D014625	C52	C52
C0013902	D004612	D58.1	D58
C0343755	D019247	B22.2	B22
C0039131	D013590	A50|A50.9	A50
C0005683	D001744	N21.0	N21
C0158731	D066166	Q67.7	Q67
C0036339	D012557	F60.1	F60
C0035372	D015518	F84.2	F84
C0009090	D013064	F98.6	F98
C0032371	D011051	A80|A80.9	A80
C0007933	D017043	H00.1	H00
C0282350	D012742	T74.2	T74
C0153017	D020804	B01.1|B02.0	B01|B02
C0035220	D012127	P22|P22.0|P22.9	P22
C1145628	D001342	G90|G90.9	G90
C0008312	D008105	K74.3	K74
C0153470	D013160	C26.1	C26
C0022735	D007713	Q98.0|Q98.4	Q98
C0004052	D063466	W78	W78
C0013415	D019263	F34.1	F34
C0007642	D002481	L03|L03.9	L03
C0018805	D006335	S26|S26.9	S26
C0002171	D000506	L63|L63.9	L63
C0021345	D007244	B27|B27.0|B27.9	B27
C0004936	D001523	F99|F99-F99.9	F99
C0014868	D004941	K20	K20
C0033775	D011538	L29.0	L29
C1704430	D012553	B65.0	B65
C0008533	D002836	D67	D67
C0024266	D008216	A87.2	A87
C0034065	D011655	I26	I26
C0276535	C554498	B21.0	B21
C0004692	D001447	A07.0	A07
C0033129	D000562	B60.1	B60
C0393598	D020821	G24.1	G24
C0013604	D004487	R60.9	R60
C0024904	D008417	H70.9	H70
C0079294	D016108	Q81.2	Q81
C0015310	D005099	H50.1	H50
C0042900	D014820	L80	L80
C0038436	D013313	F43.1	F43
C0020796	D008607	F73	F73
C0040560	D014125	P37.1	P37
C0005684	D001749	C67|C67.9	C67
C0002878	D000743	D55-D59.9	D55-D59
C0546837	D004938	C15|C15.9	C15
C0019156	D006504	K76.5	K76
C0029445	D010020	M87|M87.9	M87
C3463824	D009190	D46|D46.9	D46
C0014761	D004899	P55|P55.9	P55
C0017672	D005926	K14.6	K14
C0348165	D020805	A80-A89.9|A89	A80-A89|A89
C0032617	D011141	R35	R35
C0005694	D001748	N32.0	N32
C0038355	D013273	K31.4	K31
C0023886	D008101	A06.4	A06
C0162852	D017514	L41.0	L41
C0023794	D008064	E75.6	E75
C0006288	D001998	Q33.2	Q33
C0023786	D008059	E76.0	E76
C0037856	D013086	N44	N44
C0009443	D003139	J00	J00
C0033770	D011535	Q79.4	Q79
C1253936	D006833	M25.4	M25
C0040820	D014201	B66.9	B66
C0009021	D003003	B66.1	B66
C1533618	D004620	T79.1	T79
C0015397	D005128	H44|H44.9	H44
C0348993	C000656865	B48.4	B48
C0154693	D006429	G81.0	G81
C0039070	D013575	R55	R55
C0040428	D014072	K03.1	K03
C1691228	D052177	Q61|Q61.9	Q61
C1140680	D010051	C56	C56
C0035435	D012216	M79.0	M79
C0031190	D010547	P29.3	P29
C0011615	D003876	L20|L20.9	L20
C0426970	D011782	G82.4	G82
C0152099	D017562	K91.5	K91
C0032807	D011186	I87.0	I87
C0152221	D013285	H49|H49.9	H49
C0158328	D052582	M65.3	M65
C0085602	D059606	R63.1	R63
C0020217	D006828	O01|O01.0|O01.9	O01
C0343047	C537005	L21.1	L21
C0018523	D006211	G23.0	G23
C0037859	D013088	N43.4	N43
C0020498	D004057	M48.1	M48
C0877792	D020178	G47.2	G47
C0013502	D004443	B67	B67
C0152223	D013285	H50.6	H50
C0008149	D002690	A74.9	A74
C0013903	D004613	Q77.6	Q77
C0149955	C536376	Q45.1	Q45
C0011407	D003790	K04.1	K04
C0265554	C574275	Q71.6	Q71
C0152227	D007766	H04.2	H04
C0275590	D003015	A05.2	A05
C0019079	D006469	R04.2	R04
C0031142	D010532	K65-K67.9|K66.9	K65-K67|K66
C0023075	D007829	J38.6	J38
C0006145	D001941	N60-N64.9|N64.9	N60-N64|N64
C0032768	D051474	G53.0	G53
C0010380	D003440	J05.0	J05
C0264393	D011656	J43.1	J43
C0019829	D006689	C81|C81.9	C81
C0033581	D011472	N41|N41.9	N41
C0020413	D006925	B71.0	B71
C0039090	D017206	B83.3	B83
C0030193	D010146	R52.9	R52
C0265740	C537438	Q30.1	Q30
C0158252	C535531	M51.9	M51
C0158779	D057070	Q76.5	Q76
C0042909	D014823	H43.1	H43
C0015652	D005211	B66.3	B66
C0524851	D019636	G31.9	G31
C0013364	D004402	G90.1	G90
C0000821	D000033	O20.0	O20
C0035204	D012120	J00-J99.9|J98.9	J00-J99|J98
C0027030	D009198	B87|B87.9	B87
C0034372	D011782	G82.5	G82
C0033804	D011545|D012734	Q56.3	Q56
C0345904	D008113	C22.9	C22
C0394005	C562856	G80.4	G80
C0155490	D018424	H71	H71
C0011251	D012563	F22.0	F22
C0152169	D056844	N23	N23
C0152177	D020433	G50|G50.9	G50
C0018939	D006402	D75.9	D75
C0016842	D005660	Q67.6	Q67
C0018834	D006356	R12	R12
C0152110	D020428	G57.1	G57
C0015464	D005155	G51|G51.9	G51
C0032987	D011271	O00|O00.9	O00
C0349578	D004714	N85.0|N85.1	N85
C0030569	D010302	G21|G21.9	G21
C0549150	C563016	L73.1	L73
C0014877	D004948	H50.0	H50
C0338489	D008881	G43.2	G43
C0021364	D007248	N46	N46
C0007114	D012878	C44.9	C44
C0019212	D006530	K76.7	K76
C0040765	D014189	F64.0	F64
C0010964	D003616	Q03.1	Q03
C0019655	D006660	B39|B39.9	B39
C0023479	D015479	C92.5	C92
C0038018	D013169	M43.0	M43
C0153405	D010610	C14.0	C14
C0019326	D006555	K43	K43
C0376358	D011471	C61	C61
C0007682	D002493	G96.9	G96
C0751460	D011782	G82.3	G82
C0033677	D011502	E46	E46
C0008626	D025063	Q99.9	Q99
C0221002	D049950	E21.0	E21
C0009763	D003231	H10|H10.9	H10
C0020461	D006947	E87.5	E87
C0149771	D020047	N81.6	N81
C0750952	D001661	C24.9	C24
C0001264	D000197	A42.2	A42
C0153132	D009494	A50.4	A50
C0024636	D008310	K07.4	K07
C0019097	D006478	A96.0	A96
C0024622	D019572	C69.2	C69
C0016052	D005352	I77.3	I77
C0042870	D014808	E55|E55.9	E55
C0156273	C562406	N32.3	N32
C0013927	D004619	O88.1	O88
C0393939	D020511	G70.1	G70
C0001486	D000257	B34.0	B34
C0153261	D006660	B39.4	B39
C0006705	D002128	E83.5	E83
C0553604	D020967	G71.1	G71
C3263723	D014947	T14.9	T14
C0162311	D000505	L64|L64.9	L64
C0079298	D016110	Q81.0	Q81
C0018022	D006043	E01.0|E01.2	E01
C0042582	D014719	N82.0	N82
C0042568	D014715	G45.0	G45
C0018916	D006391	D18.0	D18
C0036205	D017565	D86.0	D86
C0030593	D015868	H30.2	H30
C0549423	D006849	G91.1	G91
C0039130	D013589	A52.0|I98.0	A52|I98
C0700119		V-SRC	V-SRC
C4721505	D023981	C92.3	C92
C0085932	D012872	L10-L14.9|L13.9	L10-L14|L13
C0029121	D019958	F91.3	F91
C0266294	D000075529	Q60.0	Q60
C1137110	D038801	V-ICD10	V-ICD
C0043379	D014997	Q98.5	Q98
C0018572	D006232	B08.4	B08
C0015231	D005077	B08.2	B08
C0000889	D000052	L83	L83
C0014117	D004695	I42.4	I42
C0004691	D001446	N48.1	N48
C0085740	D011015	J95.4	J95
C0039445	D013683	I78.0	I78
C0023176	D007855	T56.0	T56
C0022782	D052798	N48.0	N48
C0035613	D012295	A92.4	A92
C0031925	D010864	L05	L05
C0022346	D007565	R17	R17
C0034561	D011855	L58|L58.9	L58
C0040249	D010854	B36.2	B36
C0030286	D010182	K86.9	K86
C0017168	D005764	K21	K21
C0524528	D002659	F84|F84.9	F84
C0002871	D000740	D64.9	D64
C0016037	D009221	M61.1	M61
C0009398	D003117	H53.5	H53
C0022602	D055623	L57.0	L57
C0549160	D000073605	A77.2	A77
C0023891	D008104	K70.3	K70
C0004138	D013132	G11|G11.9	G11
C0751098	D004671	A83|A83.9	A83
C0017665	D015433	N03.2	N03
C0013504	D004444	B67.8	B67
C0033936	D011604	F10.5	F10
C0022783	D007724	N90.4	N90
C0010823	D003586	B25|B25.9	B25
C1306068	D058442	H26.4	H26
C0007462	D002422	G56.4	G56
C0348321	D006192	A49.2|B96.3	A49|B96
C0013312	D004387	M72.0	M72
C0398650	D016553	D69.3	D69
C0011849	D003920	E10-E14.9|E14	E10-E14|E14
C0022073	D015863	H20|H20.9	H20
C0025587	D037061	M77.4	M77
C0433856	D000070625	S06.2	S06
C0151436	D014658|D018366	M31.0	M31
C0085548	D017044	Q61.1	Q61
C0393734	D013226	G41.2	G41
C0282687	D019142	A98.4	A98
C0001403	D000224	E27.1	E27
C0152423	D065817	Q17.2	Q17
C1527344	D014832|D055154	R49.0	R49
C0031157	D000039	J36	J36
C0036202	D012507	D86|D86.9	D86
C0017407	D005155	G51.1	G51
C0156147	D003424	K50.1	K50
C1861783	D000074742	I77.4	I77
C0038016	D013168	M43.1	M43
C0339959	D061387	J16.0	J16
C0015423	D005141	H02.9	H02
C5234914	D018882	T67.1	T67
C0042594	D015837	H81|H81.9	H81
C0040262	D014010	B36.0	B36
C0282309	D010787	L57.1	L57
C0036094	D012467	K11.4	K11
C0030446	D007418	K56.0	K56
C0024433	D008265	Q18.4	Q18
C0023487	D015473	C92.4	C92
C0085074	D016460	L92.0	L92
C0153436	D012811	C18.7	C18
C0040963	D014264	I07.0	I07
C0041207	C535464|D014339	Q20.0	Q20
C1535939	D011020	B59	B59
C0007871	D002581	N88.3	N88
C0231528	D063806	M79.1	M79
C0040213	D013991	M94.0	M94
C0039494	D013705	K07.6	K07
C0085605	D017093	K72.9	K72
C0079154	D017490	Q80.2	Q80
C0153640	D002528	C71.6	C71
C0155930	D020254	K03.5	K03
C0036421	D012595	M34|M34.0|M34.9	M34
C0343528	D007877	A48.2	A48
C0003469	D001008	F41.9	F41
C0013481	D004437	Q22.5	Q22
C0015957	D005329	F65.0	F65
C0494491	D020422	G58.9	G58
C0041322	D014392	A18.5	A18
C0155889	D005203	J67.5	J67
C0020302	D006871	Q15.0	Q15
C0235833	D065630	Q79.0	Q79
C0265998	C536377	Q84.3	Q84
C1270972	D060825	F06.7	F06
C1389018	C562831	Q21.2	Q21
C0037005	D012783	S43.0	S43
C0021807	D007402	L30.4	L30
C0026918	D009164	A31.9	A31
C0206138	D017675	M34.1	M34
C0022415	D014394	M01.1	M01
C0013473	D001068	F50|F50.9	F50
C0495465	D020941	P94.0	P94
C0014544	D004827	G40|G40.9	G40
C0085592	D018882	T67.2	T67
C0392109	C557675	Q32.0	Q32
C0008370	D002779	K83.1	K83
C0023212	D006333	I50.1	I50
C0018808	D006337	R01.1	R01
C0013390	D004412	N94.6	N94
C0028084	D004325	F51.5	F51
C0032046	D010923	O44	O44
C0153504	D008479	C38.3	C38
C0268179	C562600	E73.0	E73
C0265553	D013576	Q70.4	Q70
C0017154	D005757	K29.4	K29
C0079758	D008224|D016407	C82.1	C82
C0025427	D008630	T56.1	T56
C0003873	D001172	M06.9	M06
C2004487	D052065	N94.2	N94
C0007286	D002349	G56.0	G56
C0600427	D019970	F14.2	F14
C0020676	D007037	E03.9	E03
C1510410	D000857	R43.1	R43
C0035086	D012080	N25.0	N25
C0013428	D053159	R30|R30.0|R30.9	R30
C0178324	D057772	T14.5	T14
C0178298	D012871	L00-L99.9|L98.9	L00-L99|L98
C0013592	D004483	H02.1	H02
C0030805	D010391	L12|L12.0|L12.9	L12
C0036980	D012770	R57.0	R57
C0032302	D011019	J15.7	J15
C0019158	D006505	K75.9	K75
C0085215	D016649	E28.3	E28
C1321926	D061220	S04.1	S04
C0015523	D005173	D68.1	D68
C0151779	C562393	C43|C43.9	C43
C0026718	D009091	B46.5	B46
C0152152	D059287	O30.2	O30
C0000727	D000006	R10.0	R10
C0038358	D013276	K25	K25
C0002902	D000757	Q00.0	Q00
C0271985	C562716	D56.2	D56
C0027059	D009205	I51.4	I51
C0747273	D010307	C07	C07
C1706004	D004476	Q82.4	Q82
C0020683	D012769	R57.1	R57
C0263325	C537306	L11.1	L11
C0027873	D009471	G36.0	G36
C0042024	D014549	R32	R32
C0019061	D006463	D59.3	D59
C0001818	D000379	F40.0	F40
C0023645	C535892	L66.1	L66
C0035528	D012257	E53.0	E53
C0023885	D008100	K75.0	K75
C0028754	D009765	E66|E66.9	E66
C0268124	C531816	D81.3	D81
C0003076	D015783	Q13.1	Q13
C0221406	D047748	E24.0	E24
C0848548	C563161	I12	I12
C0085409	D016884	E31.0	E31
C0008325	D002764	K81|K81.9	K81
C0010678	D003551	B69|B69.9	B69
C0010278	D003398	Q75.0	Q75
C0018681	D006261	R51	R51
C0033038	D061686	F52.4	F52
C0035793	D012373	A77.0	A77
C0153633	D001932	C71|C71.9	C71
C0030567	D010300	G20	G20
C0162870	D017543	I72.3	I72
C0035309	D012164	H35.9	H35
C0036091	D015494	K11.5	K11
C0151491	D009139	Q65-Q79.9|Q79.9	Q65-Q79|Q79
C0151526	D047928	O60	O60
C0271240	D001766	H54.4	H54
C0020604	D006998	F45.2	F45
C0032914	D011225	O14.9	O14
C0431663	D003456	Q53.2	Q53
C0022806	D007732	E40	E40
C0040034	D013921	D69.6	D69
C0014848	D004931	K22.0	K22
C0153601	D010412	C60|C60.9	C60
C0035400	D012202	G93.7	G93
C0242225	D003117	H53.5	H53
C0021361	D007247	N97|N97.9	N97
C0001145	D000153	L73.0	L73
C0016065	D005359	Q78.1	Q78
C0432098	C562950	Q35.3	Q35
C0016689	D008548	L81.2	L81
C0236816	D040701	F43.0	F43
C0345905	D018281	C22.1	C22
C0013240	D004368	K10.3	K10
C0020039	D006791	R45.5	R45
C0009447	D017074	D83|D83.9	D83
C0031090	D010510	K05.6	K05
C0020541	D006975	K76.6	K76
C0004626	D018410	J15.9	J15
C1956089	D054850	M25.7	M25
C0014867	D004932	I85	I85
C0153188	C536774	A52|A52.9	A52
C0162530	D017092	E80.0	E80
C0040412	D014063	K14.5	K14
C0238065	D008105	K74.4	K74
C0162482	D019687	N85.5	N85
C4551862	D013494	G23.1	G23
C0010414	D003453	B45	B45
C0037379	D012909	T63.0	T63
C0041330	D014399	M49.0	M49
C0037753	D013031	B70.1	B70
C0263372	D000169	L44.4	L44
C0003705	D001098	T63.3	T63
C0019569	D006627	Q43.1	Q43
C0085413	D016891	Q61.2	Q61
C0029454	D010022	Q78.2	Q78
C0452203	D007969	P91.2	P91
C0034089	D011666	I37.0	I37
C0263505	C537055	L63.1	L63
C0040822	D014202	R25.1	R25
C0026848	D009135	G72.9|M60-M63.9|M62.9	G72|M60-M63|M62
C0473878	D013622	B68.0	B68
C0018621	D006255	J30.1	J30
C0010314	D003410	Q93.4	Q93
C0023493	D015459	C91.5	C91
C0162576	D017129	B81.0	B81
C0016064	D005358	M85.0	M85
C0043346	D014983	Q82.1	Q82
C0917967	D011681	H57.0	H57
C0040561	D014126	B58.0	B58
C0348426	D008577	D32|D32.9	D32
C0020626	D007011	E20|E20.9	E20
C0600298	D010520	K05.4	K05
C0152116	D014103	G24.3	G24
C0040261	D014009	B35.1	B35
C0019555	D006618	Q65.2	Q65
C0851140	D018290	D06|D06.9	D06
C0085661	D054039	L60.1	L60
C1510471	D001361	E56.9	E56
C0034013	D011629	E30.1	E30
C0019099	D006479	A98.0	A98
C0024138	D008179	L93.0	L93
C0013378	D004408	R43.2	R43
C0030764	D010378	F65.4	F65
C0026847	D009134	G12.9	G12
C0038463	D013322	B78|B78.9	B78
C0039075	D013576	Q70|Q70.9	Q70
C0005122	D001602	E51.1	E51
C0265761	D059608	Q31.3	Q31
C0019104	D006482	A99	A99
C0003431	D000987	F60.2	F60
C3887645	D007589	D82.4	D82
C0011848	D003919	E23.2	E23
C0008311	D002761	K83.0	K83
C0036285	D012541	A38	A38
C0009759	D003229	H10-H13.9|H11.9	H10-H13|H11
C0040896	D014235	B75	B75
C0041473	D014438	A75.0	A75
C0017614	D009798	H40.0	H40
C0030804	D010390	L12.1	L12
C0009595	D003193	F60.5	F60
C3495801	D014890	M31.3	M31
C0036416	D015423	H15.0	H15
C0079774	D016411	C84.4	C84
C0152945	C571911	A22.2	A22
C0021833	D007412	K63.2	K63
C0022336	D007562	A81.0	A81
C0018889	D006373	B65-B83.9|B83.9	B65-B83|B83
C0555346	D064386	S82.6	S82
C0032027	D010916	L44.0	L44
C0005138	D001607	J63.2	J63
C0339573	D005902	H40.1	H40
C0038814	D013471	L55|L55.9	L55
C0700345	D002181	B37.3	B37
C0025289	D008581	G03.9	G03
C0034216	D053018	N13.6	N13
C0041333	D014401	A18.1	A18
C0021141	D007177	E22.2	E22
C0026010	D008850	Q11.2	Q11
C0018520	D006209	R19.6	R19
C0041341	D014402	Q85.1	Q85
C0019911	D006725	B76|B76.9	B76
C0003123	D000855	R63.0	R63
C0015773	D005258	M05.0	M05
C0026691	D009080	M30.3	M30
C0393524	D013132	G11.2	G11
C0018190	D006100	A58	A58
C0022603	D017492	L82	L82
C0751908	D020338	A88.1|H81.2	A88|H81
C0018798	D006330	Q24.9	Q24
C0751941	D020435	G52.1	G52
C2937358	D002543	I61|I61.9	I61
C0026267	D008945	I34.1	I34
C0039128	D013587	A53.9	A53
C0019068	D051359	D76.2	D76
C0023466	D007951|D015476	C93.1	C93
C0000814	D000030	O02.1	O02
C0011633	D003882	M33|M33.9	M33
C0393593	D020821	G24|G24.9	G24
C0022573	D007637	H16.2	H16
C0011548	D003859	F60.7	F60
C0936250	D007617	B00.0	B00
C0036341	D012559	F20|F20.9	F20
C0014175	D004715	N80|N80.9	N80
C0016167	D005401	K60.2	K60
C0019284	D006548	K44	K44
C0494053	D009494	A52.1	A52
C0025958	D008831	Q02	Q02
C0003803	D001139	Q07.0	Q07
C0346402	D000306	C74.0	C74
C0030807	D010392	L10|L10.9	L10
C0007688	D015356	H34.1	H34
C0007868	D002578	N87|N87.9	N87
C0002438	D000562	A06|A06.9	A06
C0023510	D007960	D72.9	D72
C0040156	D013971	E05.9	E05
C0020224	D006831	O40	O40
C0152134	D015835	H51.2	H51
C0011606	D003873	L26	L26
C0031036	D010488	M30.0	M30
C0036916	D012749	A50-A64.9|A64	A50-A64|A64
C0037899	D013106	E75.3	E75
C0428977	D001919	R00.1	R00
C0018802	D006333	I50.0	I50
C0702139	D065817	Q16.0	Q16
C0206624	D018197	C22.2	C22
C0028768	D009771	F42|F42.9	F42
C0010418	D003457	A07.2	A07
C0040441	D014082	S02.5	S02
C2745959	C535788	Q77.7	Q77
C0003969	D001206	E54	E54
C0042075	D014570	N39.9	N39
C0032285	D011014	J18.9	J18
C0041408	D014424	Q96|Q96.0|Q96.9	Q96
C0274869	D000075322	T56|T56.8	T56
C0030409	D010229	B41|B41.9	B41
C0011616	D003877	L25|L25.9	L25
C0023817	D008072	E78.3	E78
C0019554	D006617	S73.0	S73
C0017675	D005928	K14.0	K14
C0268274	D020143	E75.0	E75
C0154084	D000071960	D05|D05.9	D05
C0549567	D010859	L81.9	L81
C0276386	D002044	A93.0	A93
C0041228	D014353	B56|B56.9	B56
C0010692	D003556	N30|N30.9	N30
C0153619	D014516	C66	C66
C0546884	D020896	E86	E86
C0348287	C531698	B82.0	B82
C0079745	D008224|D016404	C82.2	C82
C0004045	D001238	P21|P21.9	P21
C0003615	D001064	K37	K37
C0238154	D006407	S06.4	S06
C0003864	D001168	M13.9	M13
C0009952	D003294	R56.0	R56
C0010074	D003330	Q24.5	Q24
C0040948	D014253	B81.2	B81
C0003886	D001176	Q74.3	Q74
C0272242	D000081208	D84.1	D84
C0338591	D020236	G45.4	G45
C0023896	D008108	K70|K70.9	K70
C0040451	D014091	K03.3	K03
C0375071	D014846	C51|C51.9	C51
C0040147	D013966	E06|E06.9	E06
C2717961	D057049	M31.1	M31
C0018777	D006314	H90.2	H90
C0040264	D014012	H93.1	H93
C0017152	D005756	K29.7	K29
C0016085	D005368	B74|B74.9	B74
C0233763	D006212	R44.1	R44
C0019087	D006474	D69.9	D69
C0600336	D012872	L13.1	L13
C0033117	D011317	N48.3	N48
C0002876	D000742	D64.4	D64
C0035854	D012393	L71|L71.9	L71
C0376685	D019534	M75.4	M75
C0001261	D000196	A42|A42.9	A42
C0263506	C562486	L66.3	L66
C0342342	D007011	E20.0	E20
C0041351	D014406	A21|A21.9	A21
C0040149	D013968	E06.1	E06
C0270733	D020955	G23.2	G23
C0009080	D010005	R68.3	R68
C1306503	D006554	Q79.2	Q79
C0311223	D002062	M75.0	M75
C1879328	D001766	H54.0	H54
C0162539	D017099	D80.3	D80
C0025500	D008654	C45|C45.9	C45
C0015333	D000069079	W91	W91
C0027092	D009216	H52.1	H52
C0018013	D058429	B83.1	B83
C0003534	D001035	H27.0	H27
C0750901	D000544	F00.0|G30.0	F00|G30
C0152095	D000073839	Q91.7	Q91
C1621955	D000066550	T74.1	T74
C0263314	C535551	L10.3	L10
C0236828	D001184	F80.0	F80
C0017412	D005832	N40-N51.9|N50.9	N40-N51|N50
C0751362	D009290	G47.4	G47
C0007787	D002546	G45.9	G45
C0009081	D003025	Q66.0	Q66
C0027651	D009369	C00-D48.9	C00-D48
C0010403	D003449	D89.1	D89
C0029411	D010004	L62.0	L62
C0013720	D004535	Q79.6	Q79
C0038379	D013285	H50.9	H50
C0546983	D038223	F07.2	F07
C0014306	D015841	H05.4	H05
C0037926	D013117	G95.2	G95
C0042133	D007889	D25|D25.9	D25
C0020453	D006941	R20.3	R20
C0042109	D014581	L50|L50.9	L50
C0041834	D004890	L53.9	L53
C0036221	D012515	C96.2	C96
C0475712	D020182	P28.3	P28
C0154034	D013120	D33.4	D33
C0085677	D020269	G62.1	G62
C0851578	D012893	G47|G47.9	G47
