umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0260866	V71.1	Z03.1	V71	Z03
C0040213	733.6	M94.0	733	M94
C0392054	031.0	A31.0	031	A31
C0151971	569.82	K63.3	569	K63
C0085548	753.14	Q61.1	753	Q61
C0024904	383.9	H70.9	383	H70
C0029867	597.8|597.89	N34.2	597	N34
C0496815	184.2	C51.1	184	C51
C0153246	110.2	B35.2	110	B35
C0019189	571.4|571.40	K73.9	571	K73
C0155524	387.0	H80.0	387	H80
C0023052	478.6	J38.4	478	J38
C0496716	V18.5	Z83.7	V18	Z83
C0154045	227.6	D35.6	227	D35
C0495310	647.8	O98.8	647	O98
C0153943	211.1	D13.1	211	D13
C0598894	206|206.9	C93|C93.9	206	C93
C0259800	360.0|360.00	H44.0	360	H44
C0155835	476	J37	476	J37
C0475532	285.0	D64.1	285	D64
C2937365	528.2	K12.0	528	K12
C0040948	127.6	B81.2	127	B81
C0036221	202.6	C96.2	202	C96
C0161460	955.4	S44.4	955	S44
C0271055	361.0	H33|H33.0	361	H33
C0029539	575.1	K81.8	575	K81
C0178247	149.8|149.99	C00-C14.9	149	C00-C14
C0014084	756.4	Q78.4	756	Q78
C0156117	551.02	K41.1	551	K41
C0011999	742.51	Q06.2	742	Q06
C0275566	039.1	A42.0	039	A42
C0032453	733.92|733.99	M94.1	733	M94
C0156279	597.81	N34.3	597	N34
C0496766	146.8	C10.4	146	C10
C0039133	097.1	A53.0	097	A53
C0036337	295.7	F25|F25.9	295	F25
C0152661	013.1|013.10	A17.1	013	A17
C0348799	466.11	J21.0	466	J21
C0155710	427.4	I49.0	427	I49
C0154653	322.2	G03.1	322	G03
C0260487	V14.3	Z88.3	V14	Z88
C0478347	897.4	S88.9|T13.6	897	S88|T13
C0025303	036|036.9|V02.59	A39|A39.9	036|V02	A39
C0154062	230.4	D01.2	230	D01
C0012561	123.4	B70.0	123	B70
C0153465	158.0	C48.0	158	C48
C0156183	569.2	K62.4	569	K62
C0014175	617|617.9	N80|N80.9	617	N80
C0013080	758.0	Q90|Q90.9	758	Q90
C0155568	395.1	I06.1	395	I06
C0025295	320.1	G00.1	320	G00
C0496894	224.0	D31.4	224	D31
C0235604	287.1	D69.1	287	D69
C0348906	186.9	C62.1	186	C62
C0014130	259.9	E34.9	259	E34
C0154693	342.0|342.00	G81.0	342	G81
C0154822	361.2	H33.2	361	H33
C1449721	778.7	P83.4	778	P83
C0154005	221.9	D28.9	221	D28
C0266480	742.4	Q04.6	742	Q04
C0038159	005.0	A05.0	005	A05
C0154907	364|364.9	H21.9	364	H21
C0158641	748.4	Q33.0	748	Q33
C0159956	834	S63.1	834	S63
C0156124	551.3	K44.1	551	K44
C0339666	379.5	H55	379	H55
C0035469	117.0	B48.1	117	B48
C0740209	V65.40	Z71.9	V65	Z71
C0178282	553.99	K46	553	K46
C0034372	344.00	G82.5	344	G82
C0018924	719.1|719.10	M25.0	719	M25
C0032326	512.89	J93|J93.9	512	J93
C1533675	377|377.9	H46-H48.9	377	H46-H48
C0005779	286|286.9	D68.9	286	D68
C0261861	939.9	Y49.9	939	Y49
C0156365	620.7	N83.7	620	N83
C0034087	424.3	I37|I37.9	424	I37
C0032994	633.1	O00.1	633	O00
C0024622	190.5	C69.2	190	C69
C0413956	943|943.9	Y53|Y53.9	943	Y53
C0152181	352.5	G52.3	352	G52
C0154301	287.4|287.49	D69.5	287	D69
C0477758	599.89	N39.8	599	N39
C0156195	573.0	K76.1	573	K76
C0265041	455.3	I84.5	455	I84
C0021193	752.7	Q56	752	Q56
C0029401	731.0	M88|M88.9	731	M88
C0001916	270.2	E70.3	270	E70
C0158698	753|753.9	Q60-Q64.9|Q64.9	753	Q60-Q64|Q64
C0155760	447.2	I77.2	447	I77
C0272238	279.09	D80.7	279	D80
C0155967	531.0	K25.0	531	K25
C0161010	933.0	T17.2	933	T17
C0348815	277.02	E84.0	277	E84
C0154043	227.4	D35.4	227	D35
C0311274	994.2	T73.0	994	T73
C0004445	871.3	S05.7	871	S05
C0156422	631|631.8	O02	631	O02
C0851323	935.3	Y45.1	935	Y45
C0477889	762.6	P02.6	762	P02
C0015656	121.4	B66.5	121	B66
C0035309	362.9	H35.9	362	H35
C2939174	753.16	Q61.5	753	Q61
C0263312	694.4	L10.4	694	L10
C1384589	110.3	B35.6	110	B35
C0155837	476.1	J37.1	476	J37
C0477887	762.2	P02.2	762	P02
C0028431	738.0	M95.0	738	M95
