umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0040188	307.2|307.20	F95|F95.9	307	F95
C0156086	537	K31	537	K31
C0276162	008.62	A08.2	008	A08
C0260341	V01.1	Z20.1	V01	Z20
C0030252	785.1	R00.2	785	R00
C0042961	560.2	K56.2	560	K56
C0392682	796.2	R03.0	796	R03
C0337223	884.9	W14	884	W14
C0260576	V26|V26.9	Z31|Z31.9	V26	Z31
C0155939	524.2|524.20	K07.2	524	K07
C0155526	387.2	H80.2	387	H80
C0015674	780.71	G93.3	780	G93
C4551631	751.62	Q44.6	751	Q44
C0340579	444.2	I74.4	444	I74
C0266328	753.4	Q62.6	753	Q62
C0261811	934.7	Y44.6	934	Y44
C0477374	339.8	G44.8	339	G44
C0015732	787.6|787.60	R15	787	R15
C0269858	665.9	O71.9	665	O71
C0496836	190|190.9	C69.9	190	C69
C0348157	099.55	A56.2	099	A56
C0311386	007.2	A07.3	007	A07
C0019294	550|550.9	K40	550	K40
C0153561	176.1	C46.1	176	C46
C0036330	120.1	B65.1	120	B65
C0685898	995.5|995.6	T78.0	995	T78
C0085652	686.01	L88	686	L88
C0348586	405.99	I15.8	405	I15
C0156273	596.3	N32.3	596	N32
C0153594	186|186.9	C62|C62.9	186	C62
C0000814	632	O02.1	632	O02
C0869496	259.3	E34.2	259	E34
C0476582	V46.3	Z99.3	V46	Z99
C0274216	920	S10.0	920	S10
C0161593	971	T44	971	T44
C0481551	V02	Z22|Z22.9	V02	Z22
C0152456	575.6	K82.4	575	K82
C0018816	745.9	Q21|Q21.9	745	Q21
C0003872	696.0	L40.5	696	L40
C0015269	302.4	F65.2	302	F65
C0154167	246.8	E07.8	246	E07
C0156390	623.7	N84.2	623	N84
C3887875	368.4|368.40	H53.4	368	H53
C4551903	747.41	Q26.2	747	Q26
C0221227	492.8	J43.2	492	J43
C0232939	626.0	N91.0	626	N91
C0343382	008.03	A04.2	008	A04
C0008513	363.20	H30|H30.9	363	H30
C0269047	615.9	N71.9	615	N71
C0013581	743.37	Q12.1	743	Q12
C0013903	756.55	Q77.6	756	Q77
C0153094	072.3	B26.3	072	B26
C0152247	599.3	N36.2	599	N36
C0026705	277.5	E76.1	277	E76
C0016842	754.81	Q67.6	754	Q67
C1261251	752.45	Q52.0	752	Q52
C0156057	534.5	K28.5	534	K28
C0481142	936	Y46	936	Y46
C0239849	757.1	Q80.4	757	Q80
C0267294	533.2	K27.2	533	K27
C0154125	238.1	D48.1	238	D48
C0160627	885	S68.0	885	S68
C0338483	346.0	G43.3	346	G43
C0010598	301.1|301.10|301.13	F34.0	301	F34
C0153602	187.5	C63.0	187	C63
C0158842	763.3	P03.3	763	P03
C0730032	510.9	J86.9	510	J86
C0263442	706.1	L70.1	706	L70
C0153393	147.0	C11.0	147	C11
C0156115	551.00	K41.4	551	K41
C0085109	370.6|370.60	H16.4	370	H16
C0036986	958.4	T79.4	958	T79
C0868850	596.2	N32.2	596	N32
C0260762	V55.2	Z43.2	V55	Z43
C0013378	781.1	R43.2	781	R43
C0005743	372.2|372.20	H10.5	372	H10
C0020758	757.1	Q80|Q80.9	757	Q80
C0027769	799.21	R45.0	799	R45
C0263375	697.8	L44.3	697	L44
C0029667	066.3	A92	066	A92
C0276837	084.4	B53.1	084	B53
C0392617	997.61	T87.3	997	T87
C0006840	112|112.9	B37|B37.9	112	B37
C0270089	767.1	P12|P12.9	767	P12
C0006413	200.2	C83.7	200	C83
C0160405	865	S36.0	865	S36
C0155389	380.0|380.00	H61.0	380	H61
C0040412	529.5	K14.5	529	K14
C0269895	665.7|665.71	O71.7	665	O71
C0152501	006.2	A06.2	006	A06
C0155889	495.5	J67.5	495	J67
C0020492	733.99	M89.3	733	M89
C0334621	200.8	C83.2	200	C83
C0161750	994.5	T73.3	994	T73
C0156429	634.11	O03.1	634	O03
C0035344	362.20|362.21	H35.1	362	H35
C0015523	286.2	D68.1	286	D68
C0032991	633.2	O00.2	633	O00
C0021051	279.3	D84.9	279	D84
C0184567	338.1	R52.0	338	R52
C0080276	629.99	N00-N99.9	629	N00-N99
C0701825	383.0	H70.0	383	H70
C1274184	698.4	L98.1	698	L98
C0155891	495.7	J67.7	495	J67
C0156182	569	K55-K63.9|K63	569	K55-K63|K63
C1278561	978	Y35.5	978	Y35
C0154879	363.1|363.10	H30.1	363	H30
C0263316	694.4	L10.1	694	L10
C0017377	288.2	D72.0	288	D72
C0161744	993.0	T70.0	993	T70
C0017181	578|578.9	K92.2	578	K92
C0001309	372.05	H10.1	372	H10
C0155020	369	H54	369	H54
C0481368	999.0	Y89.1	999	Y89
C0270185	772.0	P50.1	772	P50
C0346627	159.0	C26.0	159	C26
C0159020	779.0	P90	779	P90
C0024536	084.2	B52	084	B52
C0158587	744.04	Q16.3	744	Q16
C0431741	753.7	Q64.4	753	Q64
C0260550	V22.0	Z34.0	V22	Z34
C0155787	455.8	I84.8	455	I84
C0418696	878.4	Y83.4	878	Y83
C0343377	002.3	A01.3	002	A01
C0153357	141.8	C02	141	C02
C0270909	355.3	G57.3	355	G57
C0178301	709|709.99	L80-L99.9	709	L80-L99
C0041325	014.0	K67.3	014	K67
C0476550	V08	Z21	V08	Z21
C0153645	192.1	C70.0	192	C70
C0348455	252.08	E21.2	252	E21
C1828079	331.82	F02.3	331	F02
C0153368	144|144.9	C04|C04.9	144	C04
C0153935	210.4	D10.3	210	D10
C0010043	370.0|370.00	H16.0	370	H16
C0037619	610.0	N60.0	610	N60
C0030477	301.0	F60.0	301	F60
C0152413	480.1	J12.1	480	J12
C0153671	196.3	C77.3	196	C77
C0016085	125.9	B74|B74.9	125	B74
C0232940	626.0	N91.1	626	N91
C0348494	272.4	E78.4	272	E78
C0030569	332.1	G21|G21.9	332	G21
C0007876	074|074.9|074.99	O82.9	074	O82
C0274844	982.3	T53.3	982	T53
C0034013	259.1	E30.1	259	E30
C0153334	137.4	B90.8	137	B90
C0348712	518|518.8	J98.4	518	J98
C0348890	284.9	D61.3	284	D61
C0152097	519.4	J98.6	519	J98
C0160335	862	S27	862	S27
C0018022	240.0	E01.0|E01.2	240	E01
C0152084	714.4	M12.0	714	M12
C0161572	968.4	T41.2	968	T41
C0260826	V66.0	Z54.0	V66	Z54
C0154058	230.0	D00.0	230	D00
C0375071	184.4	C51|C51.9	184	C51
C0161679	980.0	T51.0	980	T51
C0010346	555.9	K50|K50.9	555	K50
C0020604	300.7	F45.2	300	F45
C0152251	695.0	L53.0	695	L53
C0029587	307.5|307.59	F50.8	307	F50
C0266387	752.34	Q51.3	752	Q51
C0040774	302.3	F64.1|F65.1	302	F64|F65
C0003864	716.9	M13.9	716	M13
C0155118	371.4|371.40	H18.4	371	H18
C0037773	334.1	G11.4	334	G11
C0420585	V63.1	Z75.0	V63	Z75
C0155047	369.3	H54.3	369	H54
C0029525	733.29	M85.6	733	M85
C0155770	451.19	I80.2	451	I80
C0155740	442	I72	442	I72
C0270549	300.02	F41.1	300	F41
C0161708	985.6	T56.2	985	T56
C0155966	530.6	K22.5	530	K22
C0162019	376.4|376.40	H05.3	376	H05
C0348769	599.84	N36.8	599	N36
C0003564	784.41	R49.1	784	R49
C2242769	691.8	L20.0	691	L20
C0496933	237.6	D42.0	237	D42
C0160799	907.4	T92.4	907	T92
C0267124	531.3	K25.3	531	K25
C1456424	751.60	Q44	751	Q44
C0155675	417.0	I28.0	417	I28
C0348089	V69.2	Z72.5	V69	Z72
C0155256	376.0|376.00	H05.0	376	H05
C0349200	295.7	F25.2	295	F25
C0158687	752|752.9	Q50-Q56.9	752	Q50-Q56
C0260828	V66.2	Z54.2	V66	Z54
C0029730	398|398.9|398.99	I09	398	I09
C0275589	005.89	A05.4	005	A05
C0496668	V53.90	Z46.9	V53	Z46
C0157630	676.0	O92.0	676	O92
C0496779	153.5	C18.1	153	C18
C0000821	640.0|640.03	O20.0	640	O20
C0018939	289.9|289.99	D75.9	289	D75
C0152198	367.5	H52.5	367	H52
C3251816	441.2	I71.2	441	I71
C0392322	295.8|295.9	F20.3	295	F20
C0010266	352.9	G52.9	352	G52
C0154060	230.2	D00.2	230	D00
C1314803	379.9|379.99	H00-H59.9|H57.9	379	H00-H59|H57
C0086873	704.09	L66.0	704	L66
C0869063	718.8|718.80	M24.8	718	M24
C0270094	767.2	P13.4	767	P13
C0008698	473.0	J32.0	473	J32
C0036415	778.1	P83.0	778	P83
C0020623	272.5	E78.6	272	E78
C0496859	211.3	D12.0	211	D12
C0022810	065.2	A98.2	065	A98
C0263473	705.89	L75.1	705	L75
C2886803	999.6|999.60	T80.3	999	T80
C0036920	202.2	C84.1	202	C84
C0432357	757.6	Q83.0	757	Q83
C0152187	368.0	H53.0	368	H53
C0160926	922.2	S30.1	922	S30
C0016508	754.70	Q66|Q66.9	754	Q66
C0004626	482.9	J15.9	482	J15
C0003873	714.0	M06.9	714	M06
C0023794	272.7	E75.6	272	E75
C0236816	308|308.3|308.9	F43.0	308	F43
C0040259	110.4	B35.3	110	B35
C0001263	039.2	A42.1	039	A42
C0276725	117.1	B42.7	117	B42
C0267092	456.1	I85.9	456	I85
C0478013	747.9	Q20-Q28.9|Q28.9	747	Q20-Q28|Q28
C0476476	780.8	R61.1	780	R61
C0013481	746.2	Q22.5	746	Q22
C0156385	623.1	N89.4	623	N89
C0155806	461.2	J01.2	461	J01
C0005747	333.81	G24.5	333	G24
C0003635	315.4|784.69	R48.2	315|784	R48
C0153235	102.2	A66.2	102	A66
C0154003	221.2	D28.0	221	D28
C0022734	312.32	F63.2	312	F63
C0160704	902.0	S35.0	902	S35
C0155759	447	I77	447	I77
C0271635	250.0	E14.9	250	E14
C0263933	726.71	M76.6	726	M76
C0478559	V26.8	Z31.8	V26	Z31
C0153641	191.7	C71.7	191	C71
C0158252	722	M51.9	722	M51
C0282192	078.7	A96.1	078	A96
C0868862	720.2	M46.1	720	M46
C0260506	V16.0	Z80.0	V16	Z80
C0008925	749.0|749.00	Q35|Q35.9	749	Q35
C0029831	378.7	H50.8	378	H50
C0153362	142.8	C08	142	C08
C0234996	781.2	R26.1	781	R26
C0085413	753.13	Q61.2	753	Q61
C0153396	147.3	C11.3	147	C11
C0003126	781.1	R43.0	781	R43
C0155818	465.8	J06.8	465	J06
C0003869	711.0|711.9|711.90	M00|M00.9	711	M00
C0269979	675.0	O91.0	675	O91
C0016808	288.1	D71	288	D71
C0160928	922.4	S30.2	922	S30
C0154926	364.6	H21.3	364	H21
C0154761	357.4	G63.8	357	G63
C2937358	431	I61|I61.9	431	I61
C0157358	665.3|665.31	O71.3	665	O71
C0156257	592	N20|N20.2	592	N20
C0242225	368.5	H53.5	368	H53
C0178238	009.99	A00-A09.9	009	A00-A09
C0159066	789.4|789.40	R19.3	789	R19
C0161322	947.1	T27.1	947	T27
C0001403	255.41	E27.1	255	E27
C0040021	443.1	I73.1	443	I73
C0002940	442.9	I72.9	442	I72
C0156213	575	K82	575	K82
C0263386	701.1	L85.0	701	L85
C0155307	377.5	H47.4	377	H47
C0160978	927.11	S57.0	927	S57
C0496919	236.0	D39.0	236	D39
C0481115	930.1	Y40.7	930	Y40
C0039254	123.3	B68|B68.9	123	B68
C0159027	779.8|779.89	P96.8	779	P96
C0001339	577.0	K85	577	K85
C0038522	046.2	A81.1	046	A81
C0155937	523.0|523.00	K05.0	523	K05
C0272017	281.8	D53.2	281	D53
C0153653	194.1	C75.0	194	C75
C0495246	658.2	O42.1|O75.6	658	O42|O75
C0008626	758|758.9	Q99.9	758	Q99
C0155561	393	I09.2	393	I09
C0155905	508.9	J70.9	508	J70
C0036094	527.4	K11.4	527	K11
C0260507	V16.1	Z80.1	V16	Z80
C0348402	231|231.9	D02.4	231	D02
C0038041	082.0	A77|A77.9	082	A77
C0155141	372.0|372.00	H10.3	372	H10
C0007722	767.19	P12.0	767	P12
C0265761	748.3	Q31.3	748	Q31
C0002965	411.1	I20.0	411	I20
C0153210	098.4	A54.3	098	A54
C0158720	754.43	Q68.4	754	Q68
C0155252	375.8|375.89	H04.8	375	H04
C0153411	150.1	C15.1	150	C15
C0154073	232|232.9	D04|D04.9	232	D04
C0152158	676.4|676.40	O92.3	676	O92
C0260551	V23	Z35|Z35.9	V23	Z35
C0345975	212.6	D15.0	212	D15
C0160643	890	S71	890	S71
C0494574	403.90	I12.9	403	I12
C0686619	196|196.9	C77|C77.9	196	C77
C0161003	930.1	T15.1	930	T15
C0035326	362.3|362.30	H34|H34.9	362	H34
C0029121	313.81	F91.3	313	F91
C4317126	265.2	E52	265	E52
C0037354	050|050.9	B03	050	B03
C0156604	640|640.9	O20|O20.9	640	O20
C0032302	483.0	J15.7	483	J15
C0412836	963.1	T45.1	963	T45
C0011848	253.5	E23.2	253	E23
C0478205	951	S04.8	951	S04
C0150988	710.1	L94.3	710	L94
C0157299	663.6	O69.5	663	O69
C0004691	607.1	N48.1	607	N48
C0156247	589|589.9	N27|N27.9	589	N27
C0161643	976.3	T49.3	976	T49
C0178324	904.9|904.99	T14.5	904	T14
C0496923	236.5	D40.0	236	D40
C0004991	211.3	D12.6	211	D12
C0156416	628.3	N97.2	628	N97
C0275859	090.2	A50.2	090	A50
C0157705	683	L04|L04.9	683	L04
C0032987	633|633.9	O00|O00.9	633	O00
C2937267	056.0|056.00	B06.0	056	B06
C0156314	608.81	N51	608	N51
C0261573	876.4	Y65.4	876	Y65
C0160796	907.1	T90.3	907	T90
C0260491	V14.7	Z88.7	V14	Z88
C0155826	472.2	J31.1	472	J31
C0023645	697.0	L66.1	697	L66
C0010034	371.9	H18.9	371	H18
C0032617	788.42	R35	788	R35
C0021832	129	B82|B82.9	129	B82
C0029582	519|519.99	J95-J99.9|J98	519	J95-J99|J98
C0481233	871.2	Y61.2	871	Y61
C0392044	901.81	S25.5	901	S25
C0269294	639.0	O08.0	639	O08
C0158281	723.3	M53.1	723	M53
C0025637	289.7	D74|D74.9	289	D74
C0160803	908.0	T91.4	908	T91
C0000889	701.2	L83	701	L83
C0037997	289.4|289.50	D73|D73.9	289	D73
C1510479	353.5	G54.5	353	G54
C0478043	752.19	Q50.6	752	Q50
C0152105	402|402.9	I11	402	I11
C0275990	102.0	A66.0	102	A66
C0270823	293.0|345.2	G41.1	293|345	G41
C0029569	526.2	K09.2	526	K09
C0161408	951.4	S04.5	951	S04
C0040921	131|131.9	A59|A59.9	131	A59
C0020413	123.6	B71.0	123	B71
C0260596	V28.4	Z36.4	V28	Z36
C0158362	728.81	M60.1	728	M60
C0161456	955.0	S44.3	955	S44
C0263925	726.5	M76.2	726	M76
C0161362	948.7	T31.7	948	T31
C1370867	986	T58	986	T58
C0206624	155.0	C22.2	155	C22
C0152977	040.8|040.89	A48.8	040	A48
C0158987	775.7	P74.0	775	P74
C0158678	751	Q38-Q45.9|Q45	751	Q38-Q45|Q45
C1510449	364.1|364.10	H20.1	364	H20
C0011768	315.32	F80.2	315	F80
C0270211	774.1	P58.2	774	P58
C0023211	426.3	I44.7	426	I44
C0034735	443.0	I73.0	443	I73
C0260852	V70.1	Z04.6	V70	Z04
C0347245	229.8	D15.9	229	D15
C0023646	697.0	L43|L43.9	697	L43
C0154234	264.3	E50.3	264	E50
C0158322	726.73	M77.3	726	M77
C0155870	487.0|488.99	J10-J18.9	487|488	J10-J18
C0392099	V42.3	Z94.5	V42	Z94
C0152946	022.3	A22.7	022	A22
C0156377	622|622.9	N88.9	622	N88
C0270183	772.9	P54.9	772	P54
C0339249	371.1	H18.0	371	H18
C0156339	616.5|616.50	N76.6	616	N76
C0474971	140.5	C00.5	140	C00
C0156621	641.1|641.10	O44.1	641	O44
C0994344	714.81	J99.0|M05.1	714	J99|M05
C0013274	747.0	Q25.0	747	Q25
C0265570	755.21	Q71.0	755	Q71
C0006181	081.1	A75.1	081	A75
C0019097	078.7	A96.0	078	A96
C1956089	726.91	M25.7	726	M25
C0155261	376.1|376.10	H05.1	376	H05
C0029106	121.0	B66.0	121	B66
C0085602	783.5	R63.1	783	R63
C0161347	948.5	T31.5	948	T31
C0152116	333.83	G24.3	333	G24
C0494350	277.09	E84.8	277	E84
C0161321	947.0	T28.0	947	T28
C0155239	375.4	H04.4	375	H04
C0039130	093|093.9	A52.0|I98.0	093	A52|I98
C0157743	708.4	L50.4	708	L50
C0151766	794.8	R94.5	794	R94
C0494553	380.3	H61.1	380	H61
C0160745	903.01	S45.0	903	S45
C0238207	753.3	Q63.2	753	Q63
C0014553	345.0	G40.7	345	G40
C0348743	569.8|569.89	K63.8	569	K63
C0156181	568.0	K66.0	568	K66
C0149514	466.0	J20|J20.9	466	J20
C0346906	191.5	C71.5	191	C71
C0153092	072.1	B26.1	072	B26
C0156311	608	N50	608	N50
C0260530	V18.4	Z81.0	V18	Z81
C0153612	188.4	C67.4	188	C67
C0037116	502	J62	502	J62
C0489959	398.0	I09.0	398	I09
C0260476	V13.3	Z87.2	V13	Z87
C0497552	742.9	Q00-Q07.9|Q07.9	742	Q00-Q07|Q07
C0004134	781.3	R27.0	781	R27
C1261276	754.32	Q65.3	754	Q65
C0022336	046.1|046.19	A81.0	046	A81
C0153249	111.3	B36.3	111	B36
C0260690	V44.8	Z93.8	V44	Z93
C0024301	202.0	C82|C82.9	202	C82
C0153453	156.1	C24.0	156	C24
C3495540	520.4	K00.4	520	K00
C0036220	176|176.9	C46|C46.9	176	C46
C0349006	038.11	A41.0	038	A41
C0311227	503	J63.0	503	J63
C0017601	365|365.9	H40|H40-H42.9|H40.9	365	H40|H40-H42
C0275208	969.6	T40.7	969	T40
C0869528	711.6|711.60	M01.6	711	M01
C0153963	213.4	D16.0	213	D16
C1261325	V16.3	Z80.3	V16	Z80
C0153647	192.3	C70.1	192	C70
C0155626	410|410.9|410.90	I21|I21.9	410	I21
C0160420	866	S37.0	866	S37
C0266436	752.63	Q54.4	752	Q54
C0496964	961.6	T37.4	961	T37
C0265802	748.8	Q34.1	748	Q34
C0085694	575.11	K81.1	575	K81
C0023652	701.0	L90.0	701	L90
C0153377	145.4	C05.2	145	C05
C0079774	202.7	C84.4	202	C84
C0021345	075	B27|B27.0|B27.9	075	B27
C0029560	372.3|372.39	H10.8	372	H10
C0157275	663.0|663.00	O69.0	663	O69
C0152087	712|712.9|712.90	M11.9	712	M11
C0161446	953.4	S14.3	953	S14
C0154208	256|256.9	E28|E28.9	256	E28
C0495258	660.0	O64.9	660	O64
C0348188	052.9	B01.9	052	B01
C0009770	077.0	A74.0	077	A74
C0282312	020.0	A20.0	020	A20
C0016065	756.54	Q78.1	756	Q78
C0011157	269.1	E56|E56.8	269	E56
C4721505	205.3	C92.3	205	C92
C0348615	425.18	I42.2	425	I42
C0161381	948.9	T31.9	948	T31
C0152156	660|660.9	O66.9	660	O66
C0268799	593.2	N28.1	593	N28
C3665608	674.1	O90.0	674	O90
C0030920	533	K27	533	K27
C0153490	162.2	C34.0	162	C34
C0260760	V55.0	Z43.0	V55	Z43
C0085700	733.92	M94.2	733	M94
C0040028	238.71	D47.3|D75.2	238	D47|D75
C0264437	503	J63.1	503	J63
C0489954	070.9	B19.9	070	B19
C0153290	122.1	B67.1	122	B67
C0016064	733.29	M85.0	733	M85
C0013312	728.6	M72.0	728	M72
C0392439	696.1	L40.2	696	L40
C0152093	728.5	M35.7	728	M35
C0346613	165	C39	165	C39
C0030662	312.31	F63.0	312	F63
C0700345	112.1	B37.3	112	B37
C0151744	414.8|414.9|414.99	I20-I25.9	414	I20-I25
C0153369	144.0	C04.0	144	C04
C0040456	520.6	K01.1	520	K01
C0878544	425|425.4|429.1	I42|I42.9	425|429	I42
C0040997	350.1	G50.0	350	G50
C0153354	141.4	C02.3	141	C02
C0016382	782.62	R23.2	782	R23
C0155763	447.8	I77.8	447	I77
C0156404	626.4	N92.6	626	N92
C0154015	223.1	D30.1	223	D30
C0155935	522.9	K04.9	522	K04
C0677614	V66.9	Z54	V66	Z54
C0012556	032.0	A36.0	032	A36
C0156570	637.61	O06.2	637	O06
C0159128	795.6	R76.2	795	R76
C0039685	745.2	Q21.3	745	Q21
C0038218	493.91	J46	493	J46
C0034494	071	A82|A82.9	071	A82
C0023860	027.0	A32|A32.9	027	A32
C0274829	989.9|989.99	T51-T65.9	989	T51-T65
C0478090	757.8	Q84.8	757	Q84
C0153634	191.0	C71.0	191	C71
C0155791	456.2	I98.2	456	I98
C0040436	521.3	K03.2	521	K03
C0261908	945.4	Y55.3	945	Y55
C0029696	387.8	H80.8	387	H80
C0342922	269.3	E58	269	E58
C0342039	671.4|671.44	O87.1	671	O87
C0439001	743.5	Q14|Q14.9	743	Q14
C0266848	521.04	K02.3	521	K02
C0154970	366.0	H26.0	366	H26
C0161634	975.4	T48.3	975	T48
C0156119	551.1	K42.1	551	K42
C0020594	302.71	F52.0	302	F52
C0155066	369.8	H54.6	369	H54
C0162429	263.9	E40-E46.9	263	E40-E46
C0020473	272.4	E78.5	272	E78
C0032805	429.4	I97.0	429	I97
C0036114	003.0	A02.0	003	A02
C0152256	733.03|733.7	M81.2	733	M81
C0494726	532.6	K26.6	532	K26
C0260845	V68.1	Z76.0	V68	Z76
C0040149	245.1	E06.1	245	E06
C1136085	273.1	D47.2	273	D47
C2350621	117.4	B47.0	117	B47
C0006111	348.9	G93.9	348	G93
C0153350	141.0	C01	141	C01
C0036339	301.2|301.20	F60.1	301	F60
C0005411	751.61	Q44.2	751	Q44
C0022680	753.12	Q61.3	753	Q61
C0030567	332|332.0	G20	332	G20
C0153422	151.5	C16.5	151	C16
C0020532	289.4	D73.1	289	D73
C0311223	726.0	M75.0	726	M75
C0154264	276.4	E87.4	276	E87
C0391983	532.5	K26.5	532	K26
C0025292	320.0	G00.0	320	G00
C1533626	647.3	O98.0	647	O98
C1305875	610.2	N60.2	610	N60
C0155811	464|464.2	J04|J04.2	464	J04
C0001860	136.0	L94.6	136	L94
C0154074	232.0	D04.0	232	D04
C1961134	V72.0	Z01.0	V72	Z01
C0027339	703|703.9	L60|L60.9	703	L60
C0085661	703.8	L60.1	703	L60
C0155159	372.5	H11.1	372	H11
C0153592	184.9	C51-C58.9|C57.9	184	C51-C58|C57
C0236795	300.12	F44.0	300	F44
C0154238	264.7	E50.7	264	E50
C0020458	705.21	R61|R61.9	705	R61
C0014868	530.1|530.10	K20	530	K20
C0160920	921.1	S00.1	921	S00
C0026847	335.1|335.10	G12.9	335	G12
C0155908	513	J85	513	J85
C0153360	142.1	C08.0	142	C08
C0153478	160.4	C31.2	160	C31
C0158353	728.0	M60.0	728	M60
C0260860	V70|V70.0|V70.9	Z00.0	V70	Z00
C0346647	157|157.9	C25|C25.9	157	C25
C0012569	368.2	H53.2	368	H53
C0161479	957.9	T14.4	957	T14
C0153959	213|213.9	D16|D16.9	213	D16
C0349231	300.2|300.20	F40|F40.9	300	F40
C0153440	153.7	C18.5	153	C18
C0029445	730.1	M87|M87.9	730	M87
C0266510	742.59	Q06.0	742	Q06
C0159039	782.7	R23.3	782	R23
C0265147	420.90	I30.1	420	I30
C0348767	684	L01.1	684	L01
C0023234	732.1	M91.1|M91.2|M91.3	732	M91
C0027651	239.99	C00-D48.9	239	C00-D48
C0156703	643.8	O21.8	643	O21
C0026850	359.1	G71.0	359	G71
C0343047	690.12	L21.1	690	L21
C0162375	526.3	K10.1	526	K10
C0495858	880.09	S41.7	880	S41
C0261827	936.1	Y46.2	936	Y46
C0158543	743.03	Q11.0	743	Q11
C0261515	870.3	Y60.3	870	Y60
C1812619	944.0	T23.0	944	T23
C0037054	282.5	D57.3	282	D57
C0026848	359.9	G72.9|M60-M63.9|M62.9	359	G72|M60-M63|M62
C0009595	301.4	F60.5	301	F60
C0156299	603.0	N43.0	603	N43
C0478070	755.5|755.59	Q74.0	755	Q74
C0260682	V44.0	Z93.0	V44	Z93
C0153940	210.9	D10.9	210	D10
C0031925	685	L05	685	L05
C0155669	414	I25.8	414	I25
C0157746	709.4	L92.3	709	L92
C0155284	376.8	H05.8	376	H05
C0481237	871.5	Y61.6	871	Y61
C0040034	287.5	D69.6	287	D69
C0342044	671.3|671.30|671.33	O22.3	671	O22
C0155817	465.0	J06.0	465	J06
C0275982	008.43	A04.5	008	A04
C0260455	V10|V10.90	Z85|Z85.9	V10	Z85
C0702139	744.01	Q16.0	744	Q16
C0265953	747.6	Q27.4	747	Q27
C0270223	775.4	P71.0	775	P71
C2266788	704.42	L72.1	704	L72
C0036341	295|295.9|295.90	F20|F20.9	295	F20
C0018798	746.9	Q24.9	746	Q24
C0155098	371.0	H17|H17.9	371	H17
C2939422	870.1	Y60.1	870	Y60
C0153466	158.8	C48.1	158	C48
C0161616	973.5	T47.6	973	T47
C0035854	695.3	L71|L71.9	695	L71
C0261938	948.6	Y58.6	948	Y58
C0263973	727.81	M67.0	727	M67
C0404458	614.4	N73.1	614	N73
C0155731	437.6	I67.6	437	I67
C0158632	747.4|747.40	Q26|Q26.9	747	Q26
C0155312	377.6	H47.5	377	H47
C0269959	673.3|673.30	O88.3	673	O88
C0023448	204|204.9	C91|C91.9	204	C91
C0431681	753.2|753.20	Q62	753	Q62
C0158839	763.0	P03.0	763	P03
C3241961	705.1	L74.1	705	L74
C0038220	345.3	G41|G41.9	345	G41
C0034100	522.2	K04.2	522	K04
C0153337	139.0	B94.1	139	B94
C0476478	799.25	R45.3	799	R45
C0158530	740	Q00	740	Q00
C0158634	747.42	Q26.3	747	Q26
C0027868	358|358.9	G70.9	358	G70
C0023049	128.0	B83.0	128	B83
C0496640	V26.4	Z31.6	V26	Z31
C0019364	053.2|053.20	B02.3	053	B02
C0155709	427.3	I48	427	I48
C0153924	208.2	C95.2	208	C95
C0302359	004.1	A03.1	004	A03
C0153517	170.7	C40.2	170	C40
C0265927	747.49	Q26.0	747	Q26
C0020505	783.6	R63.2	783	R63
C0002726	277.3|277.30	E85|E85.9	277	E85
C0155872	490|491.0	J41.0	490|491	J41
C0152415	750.0	Q38.1	750	Q38
C0155979	531.4	K25.4	531	K25
C0161972	674.9|674.90|674.94|677.99	O90.9	674|677	O90
C0040560	771.2	P37.1	771	P37
C0155531	388.1|388.10	H83.3	388	H83
C0153241	103.0	A67.0	103	A67
C0023281	085|085.9	B55|B55.9	085	B55
C0496648	V28.1	Z36.1	V28	Z36
C0041428	759.4	Q89.4	759	Q89
C0001327	464.0	J04.0	464	J04
C0158845	763.6	P03.5	763	P03
C0155724	433.2	I65.0	433	I65
C0375098	215.7	D21.6	215	D21
C0018916	228.0|228.00	D18.0	228	D18
C0261921	946.7	Y56.7	946	Y56
C0473472	661.3	O62.3	661	O62
C0494730	533.4	K27.4	533	K27
C0154080	232.6	D04.6	232	D04
C0156202	574.1	K80.1	574	K80
C0260417	V10.2|V10.29	Z85.2	V10	Z85
C0265833	746.09	Q22.2	746	Q22
C0481222	870.0	Y60|Y60.0|Y60.9	870	Y60
C0260763	V55.3	Z43.3	V55	Z43
C0155527	388|388.8	H90-H95.9	388	H90-H95
C0348098	008.69	A08.3	008	A08
C0155922	520|520.9	K00	520	K00
C0021831	569.9	K63.9	569	K63
C0034065	415.1	I26	415	I26
C0156296	602.2	N42.2	602	N42
C0018621	477.0	J30.1	477	J30
C0263936	726.79	M76.7	726	M76
C0269806	659.1	O61|O61.9	659	O61
C0035436	390|392.99	I00-I02.9	390|392	I00-I02
C0154004	221.8	D28.7	221	D28
C0158917	766.2	P08.2	766	P08
C0019068	288.4	D76.2	288	D76
C0028077	368.6|368.60	H53.6	368	H53
C0154027	224.5	D31.2	224	D31
C0023487	205.0	C92.4	205	C92
C0019555	754.3|754.30	Q65.2	754	Q65
C0030409	116.1	B41|B41.9	116	B41
C0037889	282.0	D58.0	282	D58
C0007688	362.31	H34.1	362	H34
C0152077	246.1	E07.1	246	E07
C0339670	367|367.9	H52	367	H52
C0270736	333.1	G25.0	333	G25
C0347055	196.5	C77.4	196	C77
